id параметра, Найменування параметра,Обов'язкове / необов'язкове поле, Формат, Опис параметра
35, delivery_note_number ,, VARCHAR, номер накладної
42, contract_gln ,, VARCHAR, GLN місце доставки при товарному узгодженні (Agreem->Comdoc) для сервісу Е-Специфікація. Також для EDI сервісу в нього пишеться поле ContractGLN з документа Метро 7а 
43, doc_date ,, INT, дата з документа
44, delivery_agreement_number ,, VARCHAR, кількість узгоджень
45, delivery_agreement_date ,, INT, дата узгодження
46, varn ,, VARCHAR, ЮЗД id документа
47, other_info ,, TEXT, додаткові дані
48, sub_doc_date ,, INT, дата підтипу документа
49, sub_doc_number ,, VARCHAR, номер підтипу документа
50, doc_error ,, TEXT, помилка при роботі з документом
51, doc_info ,, TEXT, коментар до документа
52, old_doc_id ,, INT, id документа
53, sub_status_date ,, INT, дата статусу документа (стан ланцюжка документів)
54, from_doc_id ,, INT, порядковий номер документа в ланцюжку
56, doc_num ,, VARCHAR, номер документа
57, sender ,, VARCHAR, GLN відправника
58, recipient ,, VARCHAR, GLN одержувача
59, file_name ,, VARCHAR, "найменування прикладаємого (вкладення) файлу"
60, xml_hash ,, VARCHAR, хеш змісту документа
61, answer_doc_id ,, INT, id COMDOC документа відправленного у відповідь
80, identifier ,, VARCHAR, ідентифікатор документа в системі клієнта
82, compound_number ,, VARCHAR, складовий номер
85, doc_process ,, TINYINT,
87, users ,, VARCHAR,
88, basis_doc_subtype, , INT, підтип документа-підстави
89, basis_doc_number,	, INT, номер документа-підстави
90, basis_doc_date, , INT, дата документа-підстави
, summ_without_tax, , INT, сума без ПДВ
, tax_summ, , INT, сума ПДВ
, summ, , INT, сума з ПДВ
129, receiving_note_number, , VARCHAR, Номер повідомлення про прийом (DOCUMENTINVOICE...ReceivingAdviceNumber)
137, branch_uuid,, VARCHAR, uuid «гілки поставки» (АТБ COMDOC+DESADV)
, parent_doc_uuid, ,VARCHAR, uuid початкової е-ТТН (записується при заміні відправленої чернетки)
139, format_version, ,VARCHAR, номер версії (поле C_DOC_VER) з Податкової накладної (DECLAR) чи Коригування до податкової накладної (DECLARj12)
142, parent_docs_match,,INT, 0 - comdoc_007 зі зміненими даними для звірки по desadv; 1 - comdoc_007 з коректними / не зміненими даними для звірки по desadv 
149, post_start_date, ,[yyyy-MM-dd], дата дедлайну для документів Метро 7а
153, review_deadline_date, ,[yyyy-MM-dd], термін подачі на перегляд для документів Метро 7b (ReviewDeadlineDate)
, sign_hash,, VARCHAR, хеш підпису
, draft_date_created,, INT, дата створення чернетки
, carrier_b_uuid,, BINARY, ідентифікатор перевізника
, consignee_b_uuid,, BINARY, ідентифікатор вантажоодержувача
, consignor_b_uuid,, BINARY, ідентифікатор вантажовідправника
, external_doc_id,, INT, id ТТН документа в ЦБД
, orderpartner_uuid,, BINARY, ідентифікатор замовника
, invoicepartner_uuid,, BINARY, ідентифікатор платника
, finalrecipient_uuid,, BINARY, ідентифікатор кінцевого консигнатора
, is_offline_sign,, INT, документ з офлайн підписом (мітка часу не підтверджена); 0-ні / 1-так
