№ з/п,Параметр,Тип [1]_,Формат,Опис
3.4,**connectingCarrierTradeParty**,M,,"Перевізник, що приймає вантаж"
3.4.1.1,**id**.schemeAgencyID,M,string,"ЄДРПОУ Перевізника, що приймає вантаж"
3.4.1.2,**id**.value,M,decimal,Значення
3.4.2,name,M,string,"Повне найменування Перевізника (найменування суб’єкта господарювання (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник уклав договір на надання транспортних послуг)"
3.4.3,roleCode,M,string,Роль учасника (Перевізник (новий) - СH). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.4.4,**tradeContact**,O,,Контакти відповідального представника
3.4.4.1,personName,O,string,ПІБ
3.4.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.4.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.4.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.4.5,**postalTradeAddress**,M,,Юридична адреса Перевізника (юридична адреса юридичної особи або адреса реєстрації фізичної особи-підприємця)
3.4.5.1,postCode,O,string,Індекс
3.4.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.4.5.3,cityName,M,string,Місто (назва населеного пункту)
3.4.5.4,countryID,M,string,Країна (UA)
3.4.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.4.6,**specifiedGovernmentRegistrations**,M,,Посвідчення Водія / GLN Водія / GLN компанії-учасника
3.4.6.1,id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.4.6.2,typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
3.5,**carrierUtilizedLogisticsTransportEquipment**,M,,"Автомобіль, що розвантажується"
3.5.1,id,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
3.5.2.1,**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування автомобіля"
3.5.3,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.5.3.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.5.3.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.5.3.1.2,value,O,decimal,"Значення"
3.5.3.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.5.3.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.5.3.2.2,value,O,decimal,"Значення"
3.5.4.1,**applicableNotes** (з кодом BRAND).contentCode,M,string,Код BRAND
3.5.4.2,**applicableNotes** (з кодом BRAND).content,M,string,Марка автомобіля згідно з техпаспортом
3.5.5.1,**applicableNotes** (з кодом MODEL).contentCode,M,string,Код MODEL
3.5.5.2,**applicableNotes** (з кодом MODEL).content,M,string,Модель автомобіля згідно з техпаспортом
3.6,**carrierUtilizedLogisticsTransportEquipment** (CategoryCode=TE),O,,"Причіп/напівпричіп, що розвантажується"
3.6.1,id,O,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
3.6.2,categoryCode,O,string,Код TE - Причіп/напівпричіп
3.6.3,characteristicCode,O,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
3.6.4.1,**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування причіпа/напівпричіпа"
3.6.5,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.6.5.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.6.5.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.6.5.1.2,value,O,decimal,"Значення"
3.6.5.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.6.5.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.6.5.2.2,value,O,decimal,"Значення"
3.6.6.1,**applicableNotes** (з кодом BRAND).contentCode,O,string,Код BRAND
3.6.6.2,**applicableNotes** (з кодом BRAND).content,O,string,Марка причіпа/напівпричіпа згідно з техпаспортом
3.6.7.1,**applicableNotes** (з кодом MODEL).contentCode,O,string,Код MODEL
3.6.7.2,**applicableNotes** (з кодом MODEL).content,O,string,Модель причіпа/напівпричіпа згідно з техпаспортом
3.7,**connectingCarrierUtilizedLogisticsTransportEquipment**,M,,"Автомобіль, що завантажується"
3.7.1,id,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
3.7.2.1,**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування автомобіля"
3.7.3,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.7.3.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.7.3.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.7.3.1.2,value,O,decimal,"Значення"
3.7.3.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.7.3.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.7.3.2.2,value,O,decimal,"Значення"
3.7.4.1,**applicableNotes** (з кодом BRAND).contentCode,M,string,Код BRAND
3.7.4.2,**applicableNotes** (з кодом BRAND).content,M,string,Марка автомобіля згідно з техпаспортом
3.7.5.1,**applicableNotes** (з кодом MODEL).contentCode,M,string,Код MODEL
3.7.5.2,**applicableNotes** (з кодом MODEL).content,M,string,Модель автомобіля згідно з техпаспортом
3.8,**connectingCarrierUtilizedLogisticsTransportEquipment**  (CategoryCode=TE),O,,"Причіп/напівпричіп, що завантажується"
3.8.1,id,M,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
3.8.2,categoryCode,M,string,Код TE - Причіп/напівпричіп
3.8.3,characteristicCode,M,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
3.8.4.1,**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування причіпа/напівпричіпа"
3.8.5,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.8.5.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.8.5.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.8.5.1.2,value,O,decimal,"Значення"
3.8.5.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.8.5.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.8.5.2.2,value,O,decimal,"Значення"
3.8.6.1,**applicableNotes** (з кодом BRAND).contentCode,M,string,Код BRAND
3.8.6.2,**applicableNotes** (з кодом BRAND).content,M,string,Марка причіпа/напівпричіпа згідно з техпаспортом
3.8.7.1,**applicableNotes** (з кодом MODEL).contentCode,M,string,Код MODEL
3.8.7.2,**applicableNotes** (з кодом MODEL).content,M,string,Модель причіпа/напівпричіпа згідно з техпаспортом
3.9,carrierNotes,M,string,Короткий або повний опис причин складання Акта
3.10,connectingCarrierNotes,O,string,Особливі відмітки; Інформація щодо незгоди зі змістом Акта
4,**certifyingPartyPayload**,M, ,Інформація про відповідальних осіб
4.1,**certifyingTradeParty** (RoleCode=CA),M,,"Інформація про водія Перевізника, що здає вантаж"
4.1.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.1.1.2,**id**.value,O,decimal,Значення
4.1.2,name,M,string,"Посада водія"
4.1.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.1.4.1,**tradeContact**.personName,M,string,"ПІБ водія"
4.1.5.1,**specifiedGovernmentRegistration**.id,M,string,"Серія та номер водійського посвідчення Водія, що здає вантаж. Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``"
4.2,**certifyingTradeParty** (RoleCode=OV),O,,"Інформація про відповідальних осіб Перевізника, що здає вантаж"
4.2.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.2.1.2,**id**.value,O,decimal,Значення
4.2.2,name,M,string,"Посада відповідальної особи Перевізника"
4.2.3,roleCode,M,string,Роль учасника (Перевізник - OV). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.2.4.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
4.2.5.1,**specifiedGovernmentRegistration**.id,M,string,"Серія та номер водійського посвідчення Водія, що здає вантаж. Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``"
4.3,**certifyingTradeParty** (RoleCode=DR),M,,"Інформація про водія Перевізника, що приймає вантаж"
4.3.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.3.1.2,**id**.value,O,decimal,Значення
4.3.2,name,M,string,"Посада водія"
4.3.3,roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.3.4.1,**tradeContact**.personName,M,string,"ПІБ водія"
4.3.5.1,**specifiedGovernmentRegistration**.id,M,string,"Серія та номер водійського посвідчення Водія, що здає вантаж. Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``"
4.4,**certifyingTradeParty** (RoleCode=CH),O,,"Інформація про відповідальних осіб Перевізника, що приймає вантаж"
4.4.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.4.1.2,**id**.value,O,decimal,Значення
4.4.2,name,M,string,"Посада відповідальної особи Перевізника"
4.4.3,roleCode,M,string,Роль учасника (Перевізник (новий) - CH). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.4.4.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
II,**signatureStorage**,M, ,Підписи
5,**signatures** (SigningPartyRoleCode=CA),M, ,"КЕП водія Перевізника, що здає вантаж"
5.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
5.2,partySignature,M,string,Підпис (base64 підпису p7s)
5.3,name,M,string,ПІБ підписанта (водія Перевізника)
5.4,position,O,string,Посада підписанта (водія Перевізника)
5.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (водія Перевізника)
6,**signatures** (SigningPartyRoleCode=OV),O,,"КЕП Перевізника, що здає вантаж"
6.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник - OV). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
6.2,partySignature,M,string,Підпис (base64 підпису p7s)
6.3,name,M,string,ПІБ підписанта (відповідальної особи Перевізника)
6.4,position,O,string,Посада підписанта (відповідальної особи Перевізника)
6.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (відповідальної особи Перевізника)
7,**signatures** (SigningPartyRoleCode=DR),M,,"КЕП водія Перевізника, що приймає вантаж"
7.1,signingPartyRoleCode,M,string,Роль підписанта (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
7.2,partySignature,M,string,Підпис (base64 підпису p7s)
7.3,name,M,string,ПІБ підписанта (водія Перевізника)
7.4,position,O,string,Посада підписанта (водія Перевізника)
7.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (водія Перевізника)
8,**signatures** (SigningPartyRoleCode=CH),O,,"КЕП Перевізника, що приймає вантаж"
8.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник (новий) - CH). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
8.2,partySignature,M,string,Підпис (base64 підпису p7s)
8.3,name,M,string,ПІБ підписанта (відповідальної особи Перевізника)
8.4,position,O,string,Посада підписанта (відповідальної особи Перевізника)
8.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (відповідальної особи Перевізника)
