№ з/п,Параметр [2]_,Тип [1]_,Формат,Опис
3.5.7,:green:`specifiedGovernmentRegistrations`,M/O, ,GLN Вантажоодержувача (блок обов'язковий до заповнення для відправника транзакції)
3.5.7.1,id,M/O,string,"GLN Вантажоодержувача (поле обов'язкове до заповнення для відправника транзакції)"
3.5.7.2,typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.6,**carrier**,M, ,**Перевізник**
3.6.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Перевізника
3.6.1.2,**id**.value,M,decimal,Значення
3.6.2,name,M,string,"Повне найменування Перевізника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник уклав договір на надання транспортних послуг"
3.6.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.6.4,**tradeContact**,M, ,Контакти відповідального представника
3.6.4.1,personName,M,string,"ПІБ водія, що керуватиме ТЗ при перевезенні вантажу"
3.6.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.6.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.6.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.6.5,**postalTradeAddress**,M, ,Юридична адреса Перевізника
3.6.5.1,postCode,O,string,Індекс
3.6.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.6.5.3,cityName,M,string,Місто (назва населеного пункту)
3.6.5.4,countryID,M,string,Країна (UA)
3.6.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.6.6.1,**taxRegistration**.id,M,string,РНОКПП відповідальної особи (водія)
3.6.7,:green:`specifiedGovernmentRegistrations`,M, ,Посвідчення Водія / GLN Водія / GLN компанії-учасника
3.6.7.1,id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.6.7.2,typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
3.7,:green:`notifiedTradeParties` (роль - FW),O, ,**Експедитор**
3.7.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Експедитора
3.7.1.2,**id**.value,M,decimal,Значення
3.7.2,name,M,string,"Повне найменування Експедитора (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник (замовник) уклав договір траспортного експедирування"
3.7.3,roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.7.4,**tradeContact**,O, ,Контакти відповідального представника
3.7.4.1,personName,O,string,ПІБ
3.7.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.7.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.7.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.7.5,**postalTradeAddress**,O, ,Юридична адреса Експедитора
3.7.5.1,postCode,O,string,Індекс
3.7.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.7.5.3,cityName,M,string,Місто (назва населеного пункту)
3.7.5.4,countryID,M,string,Країна (UA)
3.7.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.7.6.1,**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.7.7,:green:`specifiedGovernmentRegistrations`,M/O, ,GLN Експедитора (блок обов'язковий до заповнення для відправника транзакції)
3.7.7.1,id,M/O,string,"GLN Експедитора (поле обов'язкове до заповнення для відправника транзакції)"
3.7.7.2,typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.8,:green:`notifiedTradeParties` (роль - OB),M, ,**Замовник**
3.8.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Замовника
3.8.1.2,**id**.value,M,decimal,Значення
3.8.2,name,M,string,"Повне найменування Замовника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, що проводить оплату транспортної роботи і послуг"
3.8.3,roleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.8.4,**tradeContact**,O, ,Контакти відповідального представника
3.8.4.1,personName,O,string,ПІБ
3.8.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.8.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.8.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.8.5,**postalTradeAddress**,M, ,Юридична адреса Замовника
3.8.5.1,postCode,O,string,Індекс
3.8.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.8.5.3,cityName,M,string,Місто (назва населеного пункту)
3.8.5.4,countryID,M,string,Країна (UA)
3.8.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.8.6.1,**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.8.7,:green:`specifiedGovernmentRegistrations`,M/O, ,GLN Замовника (блок обов'язковий до заповнення для відправника транзакції)
3.8.7.1,id,M/O,string,"GLN Замовника (поле обов'язкове до заповнення для відправника транзакції)"
3.8.7.2,typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.9,:green:`notifiedTradeParties` (роль - WD),O, ,**Проміжний склад**
3.9.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Проміжного складу
3.9.1.2,**id**.value,M,decimal,Значення
3.9.2,name,M,string,"Повне найменування Проміжного складу (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
3.9.3,roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.9.4,**tradeContact**,O, ,Контакти відповідального представника
3.9.4.1,personName,O,string,ПІБ
3.9.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.9.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.9.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.9.5,**postalTradeAddress**,O, ,Юридична адреса Проміжного складу
3.9.5.1,postCode,O,string,Індекс
3.9.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.9.5.3,cityName,M,string,Місто (назва населеного пункту)
3.9.5.4,countryID,M,string,Країна (UA)
3.9.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.9.6.1,**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.9.7,:green:`specifiedGovernmentRegistrations`,M/O, ,GLN Проміжного складу (блок обов'язковий до заповнення для відправника транзакції)
3.9.7.1,id,M/O,string,"GLN Проміжного складу (поле обов'язкове до заповнення для відправника транзакції)"
3.9.7.2,typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.10,:green:`notifiedTradeParties` (роль - COP),O, ,**Охоронна компанія**
3.10.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Охоронної компанії
3.10.1.2,**id**.value,M,decimal,Значення
3.10.2,name,M,string,"Повне найменування Охоронної компанії, що надає охоронні послуги вантажу під час перевезення"
3.10.3,roleCode,M,string,Роль учасника (Охоронна компанія - COP). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.10.4,**tradeContact**,O, ,Контакти відповідального представника
3.10.4.1,personName,O,string,"ПІБ представника Замовника, який уповноважений супроводжувати вантаж, що підлягає спеціальній охороні"
3.11,**carrierAcceptanceLogisticsLocation**,M, ,**Пункт навантаження** 
3.11.1.1,**id**.schemeAgencyID,M,string,КАТОТТГ пункту навантаження
3.11.1.2,**id**.value,M,decimal,Значення
3.11.2,name,M,string,Найменування пункту навантаження
3.11.3,typeCode,M,string,Тип операції: 10 - навантаження; 5 - розвантаження
3.11.4,description,M,string,Опис (адреса) пункту навантаження
3.11.5,**physicalGeographicalCoordinate**,M, ,Географічні координати
3.11.5.1,latitudeMeasure,O,string,Географічні координати (Широта)
3.11.5.2,longitudeMeasure,O,string,Географічні координати (Довгота)
3.11.5.3.1,**systemId**.schemeAgencyID,M,string,GLN
3.11.5.3.2,**systemId**.value,M,decimal,Значення
3.12,**consigneeReceiptLogisticsLocation**,M, ,**Пункт розвантаження** 
3.12.1.1,**id**.schemeAgencyID,M,string,КАТОТТГ пункту розвантаження
3.12.1.2,**id**.value,M,decimal,Значення
3.12.2,name,M,string,Найменування пункту розвантаження
3.12.3,typeCode,M,string,Тип операції: 10 - навантаження; 5 - розвантаження
3.12.4,description,M,string,Опис (адреса) пункту розвантаження
3.12.5,**physicalGeographicalCoordinate**,M, ,Географічні координати
3.12.5.1,latitudeMeasure,O,string,Географічні координати (Широта)
3.12.5.2,longitudeMeasure,O,string,Географічні координати (Довгота)
3.12.5.3.1,**systemId**.schemeAgencyID,M,string,GLN
3.12.5.3.2,**systemId**.value,M,decimal,Значення
3.13,:green:`associatedReferencedDocuments` (TypeCode=723),O, ,"Супровідні документи на вантаж. **Документ, що підтверджує охоронні послуги**"
3.13.1,typeCode,M,string,"Тип 723 - використовується при зазначенні документа, що підтверджує надання спеціальних охоронних послуг (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
3.13.2,id,M,string,"Номер документа, згідно з яким представник Замовника уповноважений супроводжувати вантаж, який підлягає спеціальній охороні"
3.13.3,remarks,O,string,"UUID супровідного документа"
3.13.4.1,**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
3.14,:green:`associatedReferencedDocuments` (TypeCode=290),O, ,"Супровідні документи на вантаж. **Запис про передачу права на пред’явлення претензії**"
3.14.1,typeCode,M,string,Тип 290 - використовується при зазначенні передачі права предʼявлення претензії (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)
3.14.2,id,O,string,Номер документа
3.14.3,remarks,O,string,"UUID супровідного документа"
3.14.4.1,**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
3.15,:green:`associatedReferencedDocuments` (TypeCode=916),O, ,"Супровідні документи на вантаж. **Коригуючі акти**"
3.15.1,typeCode,M,string,"Тип 916 - використовується при формуванні актів, для вказання попередньої транзакції поточного акту (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
3.15.2,id,M,string,Номер акта
3.15.3,remarks,O,string,"UUID супровідного документа"
3.15.4.1,**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
3.16,:green:`associatedReferencedDocuments` (інші),O, ,**Інші супровідні документи**
3.16.1,typeCode,O,string,"Тип 

* код 730 використовується для вказання попередніх транзакцій типу е-ТТН
* код 730 також використовується при створенні актів для вказання е-ТТН до якого створюється акт
* код 916 використовується при формуванні актів, для вказання попередньої транзакції поточного акту
* код 723 при зазначенні документа, що підтверджує надання спеціальних охоронних послуг
* код 290 при зазначенні передачі права предʼявлення претензії
* код 119 при операціях з актом навантаження на проміжному складі, для зазначення попереднього акту розвантаження на цьому ж складі

(`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
3.16.2,id,O,string,"Номер документа"
3.16.3,remarks,O,string,"UUID супровідного документа"
3.16.4.1,**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
3.17,**deliveryTransportEvent**,M, ,**Розвантажувальні роботи**
3.17.1.1,**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля на розвантаження
3.17.2.1,**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під розвантаження
3.17.3,:green:`certifyingTradeParties` (RoleCode=CN),M, ,Інформація про відповідальних осіб Вантажоодержувача
3.17.3.1,name,M,string,Посада матеріально відповідальної особи вантажоодержувача
3.17.3.2,roleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.17.3.3.1,**tradeContact**.personName,M,string,ПІБ матеріально відповідальної особи вантажоодержувача
3.17.3.4.1,**id**.schemeAgencyID,M,string,РНОКПП матеріально відповідальної особи вантажоодержувача
3.17.3.4.2,**id**.value,M,decimal,Значення
3.17.4,:green:`certifyingTradeParties` (RoleCode=DR),M, ,Інформація про водія Перевізника
3.17.4.1,name,M,string,"Посада водія, що здав вантаж"
3.17.4.2,roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.17.4.3.1,**tradeContact**.personName,M,string,"ПІБ водія, що здав вантаж"
3.17.4.4.1,**id**.schemeAgencyID,O,string,РНОКПП Водія
3.17.4.4.2,**id**.value,O,decimal,Значення
3.17.5,:green:`certifyingTradeParties` (RoleCode=CA),M, ,Інформація про відповідальних осіб Перевізника
3.17.5.1,name,M,string,"Посада відповідальної особи Перевізника"
3.17.5.2,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.17.5.3.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
3.17.5.4.1,**id**.schemeAgencyID,O,string,РНОКПП Перевізника
3.17.5.4.2,**id**.value,O,decimal,Значення
3.17.6,:green:`certifyingTradeParties` (RoleCode=FW),O, ,Інформація про відповідальних осіб Експедитора
3.17.6.1,name,M,string,"Посада відповідальної особи Експедитора"
3.17.6.2,roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.17.6.3.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Експедитора"
3.17.6.4.1,**id**.schemeAgencyID,O,string,РНОКПП Експедитора
3.17.6.4.2,**id**.value,O,decimal,Значення
3.17.7.1,:green:`applicableNotes` (з кодом GROSSWEIGHT).contentCode,O,string,Код GROSSWEIGHT
3.17.7.2,:green:`applicableNotes` (з кодом GROSSWEIGHT).content,O,decimal,"Маса брутто отриманого вантажу в місці розвантаження в кілограмах"
3.17.8.1,:green:`applicableNotes` (з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
3.17.8.2,:green:`applicableNotes` (з кодом DOWNTIME).content,O,unsignedByte,Час (години) простою під розвантаженням
3.18,**pickUpTransportEvent**,O, ,**Навантажувальні роботи**
3.18.1.1,**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля під навантаження
3.18.2.1,**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під навантаження
3.18.3,:green:`certifyingTradeParties` (RoleCode=CZ),M, ,Інформація про відповідальних осіб Вантажовідправника
3.18.3.1,name,M,string,"Посада матеріально відповідальної особи, яка відпускає вантаж"
3.18.3.2,roleCode,M,string,Роль учасника (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.18.3.3.1,**tradeContact**.personName,M,string,"ПІБ матеріально відповідальної особи, яка відпускає вантаж"
3.18.3.4.1,**id**.schemeAgencyID,M,string,"РНОКПП матеріально відповідальної особи, яка відпускає вантаж"
3.18.3.4.2,**id**.value,M,decimal,Значення
3.18.4,:green:`certifyingTradeParties` (RoleCode=DR),M/O, ,"Інформація про водія Перевізника. Обов’язково має передаватись один з двох блоків: про Водія або про відповідальну особу Перевізника"
3.18.4.1,name,M,string,"Посада водія, що прийняв вантаж"
3.18.4.2,roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.18.4.3.1,**tradeContact**.personName,M,string,"ПІБ водія, що прийняв вантаж"
3.18.4.4.1,**id**.schemeAgencyID,O,string,РНОКПП Водія
3.18.4.4.2,**id**.value,O,decimal,Значення
3.18.5,:green:`certifyingTradeParties` (RoleCode=CA),M/O, ,"Інформація про відповідальних осіб Перевізника. Обов’язково має передаватись один з двох блоків: про Водія або про відповідальну особу Перевізника"
3.18.5.1,name,M,string,"Посада відповідальної особи Перевізника"
3.18.5.2,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.18.5.3.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
3.18.5.4.1,**id**.schemeAgencyID,O,string,РНОКПП Перевізника
3.18.5.4.2,**id**.value,O,decimal,Значення
3.18.6,:green:`certifyingTradeParties` (RoleCode=FW),O, ,Інформація про відповідальних осіб Експедитора
3.18.6.1,name,M,string,"Посада відповідальної особи Експедитора"
3.18.6.2,roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.18.6.3.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Експедитора"
3.18.6.4.1,**id**.schemeAgencyID,O,string,РНОКПП Експедитора
3.18.6.4.2,**id**.value,O,decimal,Значення
3.18.7.1,:green:`applicableNotes` (з кодом GROSSWEIGHT).contentCode,M,string,Код GROSSWEIGHT
3.18.7.2,:green:`applicableNotes` (з кодом GROSSWEIGHT).content,M,decimal,"Маса брутто зданого/отриманого вантажу в кілограмах"
3.18.8.1,:green:`applicableNotes` (з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
3.18.8.2,:green:`applicableNotes` (з кодом DOWNTIME).content,O,unsignedByte,Час простою
3.19,:green:`includedSupplyChainConsignmentItems`,M, ,**Відомості про вантаж**
3.19.1,sequenceNumeric,M,int,Порядковий номер рядка в таблиці
3.19.2.1,**invoiceAmount**.currencyId,M,string,Загальна сума з ПДВ. Тризначний код валюти (UAH)
3.19.2.2,**invoiceAmount**.value,M,decimal,Загальна сума з ПДВ. Значення
3.19.3.1,**grossWeightMeasure**.unitCode,M,string,Маса брутто вантажу по кожному рядку в кг. `Код одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
3.19.3.2,**grossWeightMeasure**.value,M,decimal,Маса брутто вантажу по кожному рядку в кг. Значення
3.19.4.1,**tariffQuantity**.unitCode,O,string,Ціна без ПДВ за одиницю в грн. Це можуть бути як гривні на кілограм (грн./кг) так і гривні на ящик (грн./ящик) - залежить від зазначеної одиниці виміру. Код одиниці виміру («UAH»)
3.19.4.2,**tariffQuantity**.value,O,decimal,Значення
3.19.5.1,**globalID**.schemeAgencyID,O,string (min 4 - max 10),УКТЗЕД (код продукції)
3.19.5.2,**globalID**.value,O,string,Значення
3.19.6.1,**natureIdentificationTransportCargo**.identification,M,string,Найменування вантажу
3.19.7.1,**applicableTransportDangerousGoods**.UNDGIdentificationCode,O,decimal,"Клас небезпечних речовин, до якого віднесено вантаж (у разі перевезення небезпечних вантажів). Код UNDG, 0 - якщо не використовується"
3.19.8.1,**associatedReferencedLogisticsTransportEquipment**.id,O,string,"Номер контейнера, в якому завантажено цей вантаж. Використовуєься опційно для контейнерих перевезень і має відповідати даним тегу utilizedLogisticsTransportEquipments"
