Назва поля, Тип [1]_, Формат, Опис
ILN,M,Число (13),Глобальний номер розташування (GLN) контрагента
TaxID,M,Число (12),"Податковий ідентифікаційний номер"
UtilizationRegisterNumber,M,"Число(8,10)",Код ЄДРПОУ
Name,M,Рядок (60),Назва контрагента
IBAN, O,"UA + NN + 351005 + XXXXXXXXXXXXXXXXXXX

UA — (2 літери) — код країни (ГОСТ ISO 3166-1);

NN — (2 цифри) — контрольне число;

351005 — (6 цифр) — МФО;

XXX...XXX — (19 цифр) — рахунок клієнта.",IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
**Seller**,,,Блок продавця (закінчення)
**DeliveryPoint**,M,Кількість входжень вузла: Min = 1; Max = 1,Точка доставки (початок блоку)
ILN,M,Число (13),Глобальний номер розташування (GLN) точки доставки
Name,O,Рядок (80),Юридична особа об'єкту доставки
CityName,M,Рядок (35),Місто
StreetAndNumber,M,Рядок (140),Вулиця і номер будинку
PostalCode,O,Рядок (9),Поштовий код
**DeliveryPoint**,,,Точка доставки (закінчення блоку)
**Payer**,M,Кількість входжень вузла: Min = 1; Max = 1,Платник (початок блоку)
ILN,M,Число (13),Глобальний номер розташування (GLN) платника
Name,O,Рядок (80),Юридична особа платника
CityName,M,Рядок (35),Місто
StreetAndNumber,M,Рядок (140),Вулиця і номер будинку
PostalCode,O,Рядок (9),Поштовий код
**Payer**,,,Платник (закінчення блоку)
**Invoice-Parties**,,,"Сторони (контрагенти), між якими укладено документ (закінчення блоку)"
**Invoice-Lines**,O,Кількість входжень вузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Line**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
**Line-Item**,M,Кількість входжень вузла: Min = 1;Max = 1,Позиція (початок блоку)
LineNumber,M,Ціле число (3),Номер позиції в табличній частині
EAN,M,Число (13),Штрих-код одиниці товару (продукту)
BuyerItemCode,M,Рядок (10),Артикул в БД покупця
ExternalItemCode,M,Рядок (4-10),код УКТЗЕД
ItemDescription,M,Рядок (50),Найменування товарної позиції
InvoiceQuantity,M,"Decimal (18,3)",Кількість поставлених одиниць товару
BuyerUnitOfMeasure,M,Рядок (10),"Одиниці виміру згідно `Класифікатора системи позначень одиниць вимірювання та обліку (КСПОВО) <https://dovidnyk.in.ua/directories/kspovo>`_ (шт. – штука; уп. – упаковка; л. – літр; послуга; кг. – кілограм; г. – грам…)"
InvoiceUnitNetPrice,M,"Decimal (18,5)", Ціна однієї одиниці без ПДВ
InvoiceUnitGrossPrice,M,"Decimal (18,2)", Ціна однієї одиниці з ПДВ
TaxRate, M, 20/19/16/14/7/2/0,"Ставка ПДВ (20%, 19%, 16%, 14%, 7%, 2%, 0%)"
TaxCategoryCode, M, S / E / Z,"Код категорії податку:

* S - стандартний податок; можливі значення TaxRate: 20/19/16/14/7/2 (інакше помилка)
* E - звільнений від сплати податку; можливі значення TaxRate=0 (інакше помилка)
* Z - нульова ставка (0%); можливі значення TaxRate=0 (інакше помилка)"
GrossAmount,M,"Decimal (18,2)", Сума з ПДВ
TaxAmount,M,"Decimal (18,2)",Сума податку
NetAmount,M,"Decimal (18,2)", Сума без ПДВ
AdditionalInvoiceQuantity,O,R3,Кількість одиниць товару (в альтернативних одиницях виміру) згідно Постанови про РЕЗ 1261
AdditionalUnitOfMeasure,O,X(3),Одиниця виміру (альт.) згідно Постанови про РЕЗ 1261
AdditionalNetAmount,O,R2,Ціна без ПДВ (альт.) згідно Постанови про РЕЗ 1261
**Line-Item**,,,Позиція (закінчення блоку)
**Line**,,,Рядок (закінчення блоку)
**Invoice-Lines**,,,Таблиця (закінчення блоку)
**Invoice-Summary**,,,Разом (початок блоку)
TotalLines,M, Ціле число,Кількість рядків в документі
TotalNetAmount,M,"Decimal (18,2)", Загальна сума без ПДВ
TotalTaxAmount,M,"Decimal (18,2)", Сума ПДВ
TotalGrossAmount,M,"Decimal (18,2)",Загальна сума з ПДВ
**Tax-Summary**,,, Податки (початок блоку)
**Tax-Summary-Line**,,, Рядок податків (початок блоку)
TaxRate, M, 20/19/16/14/7/2/0,"Ставка ПДВ (20%, 19%, 16%, 14%, 7%, 2%, 0%)"
TaxCategoryCode, O, S / E / Z,"Код категорії податку:

* S - стандартний податок; можливі значення TaxRate: 20/19/16/14/7/2 (інакше помилка)
* E - звільнений від сплати податку; можливі значення TaxRate=0 (інакше помилка)
* Z - нульова ставка (0%); можливі значення TaxRate=0 (інакше помилка)"
TaxAmount, M, Число позитивне, Сума податку для кожної категорії податку
TaxableAmount, M, Число позитивне, Оподаткована сума за обраною категорією податку
**Tax-Summary-Line**,,, Рядок податків (закінчення блоку)
**Tax-Summary**,,, Податки (закінчення блоку)
**Invoice-Summary**,,,Разом (закінчення блоку)
**Document-Invoice**,,,Закінчення документа
