№ з/п,Параметр,Тип [1]_,Формат,Опис
3.,**consignee**.**postalTradeAddress**.countryID,M,string,Країна (UA)
3.,**consignee**.**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
3.,**consignee**.**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.,**carrier**.**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Перевізника
3.,**carrier**.**id**.value,M,decimal,Значення
3.,**carrier**.name,M,string,"Повне найменування Перевізника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник уклав договір на надання транспортних послуг"
3.,**carrier**.roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**carrier**.**tradeContact**.personName,M,string,"ПІБ водія, що керуватиме ТЗ при перевезенні вантажу"
3.,**carrier**.**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.,**carrier**.**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.,**carrier**.**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.,**carrier**.**postalTradeAddress**.postCode,O,string,Індекс
3.,**carrier**.**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.,**carrier**.**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
3.,**carrier**.**postalTradeAddress**.countryID,M,string,Країна (UA)
3.,**carrier**.**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
3.,**carrier**.**taxRegistration**.id,M,string,РНОКПП відповідальної особи (водія)
3.,**carrier**.**specifiedGovernmentRegistration**.id,M,string,"Серія та номер водійського посвідчення Водія. Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``"
3.,**notifiedTradeParties**(роль - FW).**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Експедитора
3.,**notifiedTradeParties**(роль - FW).**id**.value,M,decimal,Значення
3.,**notifiedTradeParties**(роль - FW).name,M,string,"Повне найменування Експедитора (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник (замовник) уклав договір траспортного експедирування"
3.,**notifiedTradeParties**(роль - FW).roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**notifiedTradeParties**(роль - FW).**tradeContact**.personName,O,string,ПІБ
3.,**notifiedTradeParties**(роль - FW).**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.,**notifiedTradeParties**(роль - FW).**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.,**notifiedTradeParties**(роль - FW).**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.,**notifiedTradeParties**(роль - FW).**postalTradeAddress**.postCode,O,string,Індекс
3.,**notifiedTradeParties**(роль - FW).**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.,**notifiedTradeParties**(роль - FW).**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
3.,**notifiedTradeParties**(роль - FW).**postalTradeAddress**.countryID,M,string,Країна (UA)
3.,**notifiedTradeParties**(роль - FW).**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
3.,**notifiedTradeParties**(роль - FW).**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.,**notifiedTradeParties**(роль - OB).**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Замовника
3.,**notifiedTradeParties**(роль - OB).**id**.value,M,decimal,Значення
3.,**notifiedTradeParties**(роль - OB).name,M,string,"Повне найменування Замовника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, що проводить оплату транспортної роботи і послуг"
3.,**notifiedTradeParties**(роль - OB).roleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**notifiedTradeParties**(роль - OB).**tradeContact**.personName,O,string,ПІБ
3.,**notifiedTradeParties**(роль - OB).**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.,**notifiedTradeParties**(роль - OB).**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.,**notifiedTradeParties**(роль - OB).**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.,**notifiedTradeParties**(роль - OB).**postalTradeAddress**.postCode,O,string,Індекс
3.,**notifiedTradeParties**(роль - OB).**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.,**notifiedTradeParties**(роль - OB).**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
3.,**notifiedTradeParties**(роль - OB).**postalTradeAddress**.countryID,M,string,Країна (UA)
3.,**notifiedTradeParties**(роль - OB).**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
3.,**notifiedTradeParties**(роль - OB).**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.,**notifiedTradeParties**(роль - WD).**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Проміжного складу
3.,**notifiedTradeParties**(роль - WD).**id**.value,M,decimal,Значення
3.,**notifiedTradeParties**(роль - WD).name,M,string,"Повне найменування Проміжного складу (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
3.,**notifiedTradeParties**(роль - WD).roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**notifiedTradeParties**(роль - WD).**tradeContact**.personName,O,string,ПІБ
3.,**notifiedTradeParties**(роль - WD).**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.,**notifiedTradeParties**(роль - WD).**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.,**notifiedTradeParties**(роль - WD).**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.,**notifiedTradeParties**(роль - WD).**postalTradeAddress**.postCode,O,string,Індекс
3.,**notifiedTradeParties**(роль - WD).**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.,**notifiedTradeParties**(роль - WD).**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
3.,**notifiedTradeParties**(роль - WD).**postalTradeAddress**.countryID,M,string,Країна (UA)
3.,**notifiedTradeParties**(роль - WD).**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
3.,**notifiedTradeParties**(роль - WD).**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.,**notifiedTradeParties**(роль - COP).**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Охоронної компанії
3.,**notifiedTradeParties**(роль - COP).**id**.value,M,decimal,Значення
3.,**notifiedTradeParties**(роль - COP).name,M,string,"Повне найменування Охоронної компанії, що надає охоронні послуги вантажу під час перевезення"
3.,**notifiedTradeParties**(роль - COP).roleCode,M,string,Роль учасника (Охоронна компанія - COP). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**notifiedTradeParties**(роль - COP).**tradeContact**.personName,O,string,"ПІБ представника Замовника, який уповноважений супроводжувати вантаж, що підлягає спеціальній охороні"
3.,**carrierAcceptanceLogisticsLocation**.**id**.schemeAgencyID,M,string,КАТОТТГ пункту навантаження
3.,**carrierAcceptanceLogisticsLocation**.**id**.value,M,decimal,Значення
3.,**carrierAcceptanceLogisticsLocation**.name,M,string,Найменування пункту навантаження
3.,**carrierAcceptanceLogisticsLocation**.typeCode,M,string,Тип операції: 5 - навантаження; 10 - розвантаження
3.,**carrierAcceptanceLogisticsLocation**.description,M,string,Опис (адреса) пункту навантаження
3.,**carrierAcceptanceLogisticsLocation**.**physicalGeographicalCoordinate**.latitudeMeasure,O,string,Географічні координати (Широта)
3.,**carrierAcceptanceLogisticsLocation**.**physicalGeographicalCoordinate**.longitudeMeasure,O,string,Географічні координати (Довгота)
3.,**carrierAcceptanceLogisticsLocation**.**physicalGeographicalCoordinate**.**systemId**.schemeAgencyID,M,string,GLN
3.,**carrierAcceptanceLogisticsLocation**.**physicalGeographicalCoordinate**.**systemId**.value,M,decimal,Значення
3.,**consigneeReceiptLogisticsLocation**.**id**.schemeAgencyID,M,string,КАТОТТГ пункту розвантаження
3.,**consigneeReceiptLogisticsLocation**.**id**.value,M,decimal,Значення
3.,**consigneeReceiptLogisticsLocation**.name,M,string,Найменування пункту розвантаження
3.,**consigneeReceiptLogisticsLocation**.typeCode,M,string,Тип операції: 5 - навантаження; 10 - розвантаження
3.,**consigneeReceiptLogisticsLocation**.description,M,string,Опис (адреса) пункту розвантаження
3.,**consigneeReceiptLogisticsLocation**.**physicalGeographicalCoordinate**.latitudeMeasure,O,string,Географічні координати (Широта)
3.,**consigneeReceiptLogisticsLocation**.**physicalGeographicalCoordinate**.longitudeMeasure,O,string,Географічні координати (Довгота)
3.,**consigneeReceiptLogisticsLocation**.**physicalGeographicalCoordinate**.**systemId**.schemeAgencyID,M,string,GLN
3.,**consigneeReceiptLogisticsLocation**.**physicalGeographicalCoordinate**.**systemId**.value,M,decimal,Значення
3.,**associatedReferencedDocuments**(TypeCode=723).typeCode,M,string,"Тип 723 - використовується при зазначенні документа, що підтверджує надання спеціальних охоронних послуг (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
3.,**associatedReferencedDocuments**(TypeCode=723).id,M,string,"Номер документа, згідно з яким представник Замовника уповноважений супроводжувати вантаж, який підлягає спеціальній охороні"
3.,**associatedReferencedDocuments**(TypeCode=723).remarks,O,string,"UUID супровідного документа"
3.,**associatedReferencedDocuments**(TypeCode=723).**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
3.,**associatedReferencedDocuments**(TypeCode=290).typeCode,M,string,Тип 290 - використовується при зазначенні передачі права предʼявлення претензії (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)
3.,**associatedReferencedDocuments**(TypeCode=290).id,O,string,Номер документа
3.,**associatedReferencedDocuments**(TypeCode=290).remarks,O,string,"UUID супровідного документа"
3.,**associatedReferencedDocuments**(TypeCode=290).**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
3.,**associatedReferencedDocuments**(TypeCode=916).typeCode,M,string,"Тип 916 - використовується при формуванні актів, для вказання попередньої транзакції поточного акту (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
3.,**associatedReferencedDocuments**(TypeCode=916).id,M,string,Номер акта
3.,**associatedReferencedDocuments**(TypeCode=916).remarks,O,string,"UUID супровідного документа"
3.,**associatedReferencedDocuments**(TypeCode=916).**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
3.,**associatedReferencedDocuments**(інші).typeCode,O,string,"Тип 

* код 730 використовується для вказання попередніх транзакцій типу е-ТТН
* код 730 також використовується при створенні актів для вказання е-ТТН до якого створюється акт
* код 916 використовується при формуванні актів, для вказання попередньої транзакції поточного акту
* код 723 при зазначенні документа, що підтверджує надання спеціальних охоронних послуг
* код 290 при зазначенні передачі права предʼявлення претензії
* код 119 при операціях з актом навантаження на проміжному складі, для зазначення попереднього акту розвантаження на цьому ж складі

(`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
3.,**associatedReferencedDocuments**(інші).id,O,string,"Номер документа"
3.,**associatedReferencedDocuments**(інші).remarks,O,string,"UUID супровідного документа"
3.,**associatedReferencedDocuments**(інші).**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
3.,**deliveryTransportEvent**.**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля на розвантаження
3.,**deliveryTransportEvent**.**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під розвантаження
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).name,M,string,Посада матеріально відповідальної особи вантажоодержувача
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).roleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).**tradeContact**.personName,M,string,ПІБ матеріально відповідальної особи вантажоодержувача
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).**id**.schemeAgencyID,M,string,РНОКПП матеріально відповідальної особи вантажоодержувача
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).**id**.value,M,decimal,Значення
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).name,M,string,"Посада водія, що здав вантаж"
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**tradeContact**.personName,M,string,"ПІБ водія, що здав вантаж"
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**id**.schemeAgencyID,O,string,РНОКПП Водія
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**id**.value,O,decimal,Значення
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).name,M,string,"Посада відповідальної особи Перевізника"
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**id**.schemeAgencyID,O,string,РНОКПП Перевізника
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**id**.value,O,decimal,Значення
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).name,M,string,"Посада відповідальної особи Експедитора"
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**tradeContact**.personName,M,string,"ПІБ відповідальної особи Експедитора"
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**id**.schemeAgencyID,O,string,РНОКПП Експедитора
3.,**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**id**.value,O,decimal,Значення
3.,**deliveryTransportEvent**.**applicableNotes**(з кодом GROSSWEIGHT).contentCode,O,string,Код GROSSWEIGHT
3.,**deliveryTransportEvent**.**applicableNotes**(з кодом GROSSWEIGHT).content,O,decimal,"Маса брутто отриманого вантажу в місці розвантаження в кілограмах"
3.,**deliveryTransportEvent**.**applicableNotes**(з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
3.,**deliveryTransportEvent**.**applicableNotes**(з кодом DOWNTIME).content,O,unsignedByte,Час (години) простою під розвантаженням
3.,**pickUpTransportEvent**.**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля під навантаження
3.,**pickUpTransportEvent**.**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під навантаження
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).name,M,string,"Посада матеріально відповідальної особи, яка відпускає вантаж"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).roleCode,M,string,Роль учасника (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).**tradeContact**.personName,M,string,"ПІБ матеріально відповідальної особи, яка відпускає вантаж"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).**id**.schemeAgencyID,M,string,"РНОКПП матеріально відповідальної особи, яка відпускає вантаж"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CZ).**id**.value,M,decimal,Значення
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).name,M,string,"Посада водія, що прийняв вантаж"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**tradeContact**.personName,M,string,"ПІБ водія, що прийняв вантаж"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**id**.schemeAgencyID,O,string,РНОКПП Водія
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=DR).**id**.value,O,decimal,Значення
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).name,M,string,"Посада відповідальної особи Перевізника"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**id**.schemeAgencyID,O,string,РНОКПП Перевізника
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=CA).**id**.value,O,decimal,Значення
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).name,M,string,"Посада відповідальної особи Експедитора"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**tradeContact**.personName,M,string,"ПІБ відповідальної особи Експедитора"
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**id**.schemeAgencyID,O,string,РНОКПП Експедитора
3.,**pickUpTransportEvent**.**certifyingTradeParties**(RoleCode=FW).**id**.value,O,decimal,Значення
3.,**pickUpTransportEvent**.**applicableNotes**(з кодом GROSSWEIGHT).contentCode,M,string,Код GROSSWEIGHT
3.,**pickUpTransportEvent**.**applicableNotes**(з кодом GROSSWEIGHT).content,M,decimal,"Маса брутто зданого/отриманого вантажу в кілограмах"
3.,**pickUpTransportEvent**.**applicableNotes**(з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
3.,**pickUpTransportEvent**.**applicableNotes**(з кодом DOWNTIME).content,O,unsignedByte,Час простою
3.,**includedSupplyChainConsignmentItems**.sequenceNumeric,M,int,Порядковий номер рядка в таблиці
3.,**includedSupplyChainConsignmentItems**.**invoiceAmount**.currencyId,M,string,Загальна сума з ПДВ. Тризначний код валюти (UAH)
3.,**includedSupplyChainConsignmentItems**.**invoiceAmount**.value,M,decimal,Загальна сума з ПДВ. Значення
3.,**includedSupplyChainConsignmentItems**.**grossWeightMeasure**.unitCode,M,string,Маса брутто вантажу по кожному рядку в кг. `Код одиниці виміру <https://wiki.edin.ua/uk/latest/XML/units_edi.html>`__
3.,**includedSupplyChainConsignmentItems**.**grossWeightMeasure**.value,M,decimal,Маса брутто вантажу по кожному рядку в кг. Значення
