Параметр,Тип [1]_,Формат,Опис
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**postalTradeAddress**.countryID,M,string,Країна (UA)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - FW).**taxRegistration**.id,O,string,РНОКПП відповідальної особи
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Замовника
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).name,M,string,"Повне найменування Замовника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, що проводить оплату транспортної роботи і послуг"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).roleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**tradeContact**.personName,O,string,ПІБ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**postalTradeAddress**.postCode,O,string,Індекс
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**postalTradeAddress**.countryID,M,string,Країна (UA)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - OB).**taxRegistration**.id,O,string,РНОКПП відповідальної особи
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Проміжного складу
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).name,M,string,"Повне найменування Проміжного складу (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**tradeContact**.personName,O,string,ПІБ
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**tradeContact**.**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**tradeContact**.**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**tradeContact**.**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**postalTradeAddress**.postCode,O,string,Індекс
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**postalTradeAddress**.streetName,M,string,Адреса (назва вулиці + номер будівлі)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**postalTradeAddress**.cityName,M,string,Місто (назва населеного пункту)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**postalTradeAddress**.countryID,M,string,Країна (UA)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**postalTradeAddress**.countrySubDivisionName,O,string,Область та район (за наявності)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - WD).**taxRegistration**.id,O,string,РНОКПП відповідальної особи
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - COP).**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Охоронної компанії
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - COP).**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - COP).name,M,string,"Повне найменування Охоронної компанії, що надає охоронні послуги вантажу під час перевезення"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - COP).roleCode,M,string,Роль учасника (Охоронна компанія - COP). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**notifiedTradeParties**(роль - COP).**tradeContact**.personName,O,string,"ПІБ представника Замовника, який уповноважений супроводжувати вантаж, що підлягає спеціальній охороні"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.**id**.schemeAgencyID,M,string,КАТОТТГ пункту навантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.name,M,string,Найменування пункту навантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.typeCode,M,string,Тип операції: 10 - навантаження; 5 - розвантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.description,M,string,Опис (адреса) пункту навантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.**physicalGeographicalCoordinate**.latitudeMeasure,O,string,Географічні координати (Широта)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.**physicalGeographicalCoordinate**.longitudeMeasure,O,string,Географічні координати (Довгота)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.**physicalGeographicalCoordinate**.**systemId**.schemeAgencyID,M,string,GLN
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**carrierAcceptanceLogisticsLocation**.**physicalGeographicalCoordinate**.**systemId**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.**id**.schemeAgencyID,M,string,КАТОТТГ пункту розвантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.**id**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.name,M,string,Найменування пункту розвантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.typeCode,M,string,Тип операції: 10 - навантаження; 5 - розвантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.description,M,string,Опис (адреса) пункту розвантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.**physicalGeographicalCoordinate**.latitudeMeasure,O,string,Географічні координати (Широта)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.**physicalGeographicalCoordinate**.longitudeMeasure,O,string,Географічні координати (Довгота)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.**physicalGeographicalCoordinate**.**systemId**.schemeAgencyID,M,string,GLN
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**consigneeReceiptLogisticsLocation**.**physicalGeographicalCoordinate**.**systemId**.value,M,decimal,Значення
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=723).typeCode,M,string,"Тип 723 - використовується при зазначенні документа, що підтверджує надання спеціальних охоронних послуг (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=723).id,M,string,"Номер документа, згідно з яким представник Замовника уповноважений супроводжувати вантаж, який підлягає спеціальній охороні"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=723).remarks,O,string,"UUID супровідного документа"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=723).**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=290).typeCode,M,string,Тип 290 - використовується при зазначенні передачі права предʼявлення претензії (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=290).id,O,string,Номер документа
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=290).remarks,O,string,"UUID супровідного документа"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=290).**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=916).typeCode,M,string,"Тип 916 - використовується при формуванні актів, для вказання попередньої транзакції поточного акту (`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=916).id,M,string,Номер акта
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=916).remarks,O,string,"UUID супровідного документа"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(TypeCode=916).**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(інші).typeCode,O,string,"Тип 

* код 730 використовується для вказання попередніх транзакцій типу е-ТТН
* код 730 також використовується при створенні актів для вказання е-ТТН до якого створюється акт
* код 916 використовується при формуванні актів, для вказання попередньої транзакції поточного акту
* код 723 при зазначенні документа, що підтверджує надання спеціальних охоронних послуг
* код 290 при зазначенні передачі права предʼявлення претензії
* код 119 при операціях з актом навантаження на проміжному складі, для зазначення попереднього акту розвантаження на цьому ж складі

(`довідник кодів документів МІУ <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#un-edifact-codes>`__ + `довідник внутрішніх кодів документів EDIN <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/ETTN/TTN_doc_codes.html>`__)"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(інші).id,O,string,"Номер документа"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(інші).remarks,O,string,"UUID супровідного документа"
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**associatedReferencedDocuments**(інші).**formattedIssueDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час складання супровідного документа
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля на розвантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під розвантаження
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).name,M,string,Посада матеріально відповідальної особи вантажоодержувача
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).roleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).**tradeContact**.personName,M,string,ПІБ матеріально відповідальної особи вантажоодержувача
**UAECMR**.**ecmr**.**specifiedSupplyChainConsignment**.**deliveryTransportEvent**.**certifyingTradeParties**(RoleCode=CN).**id**.schemeAgencyID,M,string,РНОКПП матеріально відповідальної особи вантажоодержувача
