№ з/п,Параметр,Тип [1]_,Формат,Опис
13,TRANSPORTTYPE,O,Рядок,Тип транспорту
14,**TEMPERATURE**,O,,Температура
14.1,MIN,M,Рядок,Мінімальна температура
14.2,MAX,M,Рядок,Максимальна температура
15,DESCRIPTION,O,Рядок,Найменування вантажу
16,TOTALPACKAGEWEIGHT,M,"Позитивне число з плаваючою точкою (10,3)","Загальна маса брутто, кг"
17,TOTALPACKAGEQUANTITY,O,"Позитивне число з плаваючою точкою (10,3)",Загальна кількість місць
18,LOADFACTOR,O,"Позитивне число з плаваючою точкою (10,2)",Коефіцієнт завантаження
19,INFO,O,Рядок,Додаткова інформація
20,FINANCIALINFO,O,Рядок,Додаткова інформація для фінансового відділу
21,**HEAD**,M,,Початок основного блоку
21.1,**CUSTOMER**,M,,Дані Замовника
21.1.1,GLN,M,Число (13),GLN Замовника (відправника)
21.1.2,ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Замовника"
21.1.3,NAME,M,Рядок,Назва компанії Замовника
21.1.4,ADDRESS,M,Рядок,Юридична адреса Замовника
21.2,**CARRIER**,M,,Дані Перевізника
21.2.1,GLN,M,Число (13),GLN Перевізника (отримувача)
21.2.2,ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Замовника"
21.2.3,NAME,M,Рядок,Назва компанії Перевізника
21.2.4,ADDRESS,M,Рядок,Юридична адреса Перевізника
21.3,**CONSIGNOR**,M,,Дані Вантажовідправника
21.3.1,GLN,M,Число (13),GLN Вантажовідправника
21.3.2,ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Вантажовідправника"
21.3.3,NAME,M,Рядок,Назва компанії Вантажовідправника
21.3.4,ADDRESS,M,Рядок,Юридична адреса Вантажовідправника
21.4,**DRIVER**,O,,Дані Водія
21.4.1,GLN,M,Число (13),GLN Водія
21.4.2,ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Водія"
21.4.3,NAME,M,Рядок,ПІБ Водія
21.4.4,LICENSE,M,"Рядок (9) - 3 букви, 6 цифр","Серія, номер водійського посвідчення"
21.5,TEXT,O,Рядок,Додаткова інформація від ініціатора документа
21.6,**POSITION**,M,,Інформація про маршрут і вантаж
21.6.1,POSITIONNUMBER,M,Позитивне ціле число,Номер позиції
21.6.2,**LOAD**,M,,Пункт навантаження
21.6.2.1,**ADDRESS**,M,,Адреса пункту навантаження
21.6.2.1.1,GLN,M,Число (13),GLN пункту навантаження
21.6.2.1.2,ID,M,Рядок (19),Код КАТОТТГ
21.6.2.1.3,NAME,M,Рядок,Населений пункт навантаження
21.6.2.1.4,ADDRESS,M,Рядок,Адреса пункту навантаження
21.6.2.2,DATE,M,YYYY-MM-DD HH:MM,Дата-час навантаження
21.6.2.3,CONSIGNORCONTACTFACENAME,O,Рядок,ПІБ відповідальної особи Вантажовідправника
21.6.2.4,CONSIGNORCONTACTFACENUMBER,O,Рядок,Моб. телефон відповідальної особи Вантажовідправника
21.6.3,**UNLOAD**,M,,Пункт розвантаження
21.6.3.1,**ADDRESS**,M,,Адреса пункту розвантаження
21.6.3.1.1,GLN,M,Число (13),GLN пункту розвантаження
21.6.3.1.2,ID,M,Рядок (19),Код КАТОТТГ
21.6.3.1.3,NAME,M,Рядок,Населений пункт розвантаження
21.6.3.1.4,ADDRESS,M,Рядок,Адреса пункту розвантаження
21.6.3.2,DATE,O,YYYY-MM-DD HH:MM,Дата-час розвантаження
21.6.3.3,**CONSIGNEE**,M,,Дані Вантажоодержувача
21.6.3.3.1,GLN,M,Число (13),GLN Вантажоодержувача
21.6.3.3.2,ID,M,"* Позитивне ціле число (8) - ЄДРПОУ
* Позитивне ціле число (10) - ІПН
* Рядок (8) - серія, номер паспорта
* Позитивне ціле число (9) - ID карта","ЄДРПОУ / ІПН / ID карта / серія, номер паспорта Вантажоодержувача"
21.6.3.3.3,NAME,M,Рядок,Назва компанії Вантажоодержувача
21.6.3.3.4,ADDRESS,M,Рядок,Юридична адреса Вантажоодержувача
21.6.3.4,CONSIGNEECONTACTFACENAME,O,Рядок,ПІБ відповідальної особи Вантажоодержувача
21.6.3.5,CONSIGNEECONTACTFACENUMBER,O,Рядок,Моб. телефон відповідальної особи Вантажоодержувача
21.6.4,PACKAGEWEIGHT,O,"Позитивне число з плаваючою точкою (10,3)","Маса брутто, кг"
21.6.5,PACKAGEQUANTITY,O,"Позитивне число з плаваючою точкою (10,3)",Кількість місць
21.6.6,TRANSPORTTYPE,O,Рядок,Вид транспорту
21.6.7,**TEMPERATURE**,O,,Температура
21.6.7.1,MIN,M,Рядок,Мінімальна температура
21.6.7.2,MAX,M,Рядок,Максимальна температура
21.6.8,INFO,O,Рядок,Додаткова інформація
