IK,Пакунок з отворами для пляшок картонний,"Package, cardboard, with bottle grip-holes","Картонний пакувальний виріб, який забезпечує відокремлення скляних чи пластикових пляшок"
IL,Жорсткий лоток з кришкою та перегородками (CEN TS 14482:2002),"Tray, rigid, lidded stackable (CEN TS 14482:2002)","Жорсткий піддон з кришкою та перегородками, який відповідає CEN TS 14482:2002"
IN,Болванка,Ingot,
IZ,Болванки у зв'язці/пакеті/штабелі,"Ingots, in bundle/bunch/truss",
JB,Мішок великий,"Bag, jumbo","М'який мішок, який широко використовується для зберігання, транспортування та обробки матеріалів у порошку, пластівцях або гранулах. Як правило, виготовлений з плетеного поліпропілену у формі кубічних мішків"
JC,Каністра прямокутна,"Jerrican, rectangular","Жорсткий прямокутний контейнер, з кришкою для зберігання та переміщення нафти, бензину та ін."
JG,Глек,Jug,
JR,"Банка з широкою горловиною (ємністю приблизно 4,5 л)",Jar,Контейнер для зберігання та розливу продукції
JT,Мішок джутовий,Jute bag,
JY,Каністра циліндрична,"Jerrican, cylindrical","Жорсткий циліндричний контейнер з кришкою для зберігання та переміщення нафти, бензину та ін."
KG,Кег,Keg,
KI,Набір,Kit,"Набір предметів або інвентарю, які використовуються з певною ціллю"
LE,Багаж,Luggage,"Сукупність сумок, чемоданів та/або контейнерів, яка містить особисті речі для подорожі"
LG,Колода,Log,
LT,Партія вантажу,Lot,
LU,Лаг (дерев'яний ящик),Lug,Дерев'яна коробка для транспортування та зберігання фруктів або овочів
LV,Ліфт ван (дерев'яний короб розміром приблизно 220 см (довжина) х 115 см (ширина) х 220 см (висота)),Lift van,"Дерев'яний або металевий контейнер, що використовується для пакування товарів домашнього ужитку та особистих речей"
LZ,Колода у зв'язці/пакеті/штабелі,"Logs, in bundle/bunch/truss",
MA,"Ящик решітчастий, металевий","Crate, metal","Коробка, виготовлена з металу для зберігання речовин або предметів"
MB,Мішок багатошаровий,"Bag, multiply",
MC,Ящик решітчастий для молочних пляшок,"Crate, milk",
ME,Контейнер металевий,"Container, metal","Металева коробка для зберігання речовин або предметів, не віднесена до переліченого транспортувального обладнання"
MR,Резервуар металевий,"Receptacle, metal",Металева посудина для зберігання речовин або предметів
MS,Лантух багатошаровий,"Sack, multi-wall",
MT,Мішок рогожаний,Mat,
MW,Резервуар з пластиковим покриттям,"Receptacle, plastic wrapped",Обгорнута пластиком посудина для зберігання речовин або предметів
MX,Коробка сірників,Matchbox,
NA,Немає відомостей,Not available,
NE,Не пакований чи не розфасований,Unpacked or unpackaged,
NF,Не пакований чи не розфасований одиничний вантаж,"Unpacked or unpackaged, single unit",
NG,Не пакований чи не розфасований багатомісний вантаж,"Unpacked or unpackaged, multiple units",
NS,Гніздо (комірка),Nest,
NT,Сітка,Net,
NU,Сітка трубчаста пластикова,"Net, tube, plastic",
NV,Сітка трубчаста текстильна,"Net, tube, textile",
OA,"Піддон/палет, розміром 40 см на 60 см","Pallet, CHEP 40 cm x 60 cm",Стандартний піддон (СНЕР) розміром 40 х 60 см
OB,"Піддон/палет, розміром 80 см на 120 см","Pallet, CHEP 80 cm x120 cm",Стандартний піддон (СНЕР) розміром 80 х 120 см
OC,"Піддон/палет, розміром 100 см на 120 см","Pallet, CHEP 100 cm x120 cm",Стандартний піддон (СНЕР) розміром 100 х 120 см
OD,"Піддон/палет, AS 4068-1993","Pallet, AS 4068-1993",Австралійський стандартний піддон розміром 115.5 х 116.5 см
OE,"Піддон/палет, ISO T11","Pallet, ISO T11","Стандартний піддон ISO розміром 110 х 110 см, розповсюджений в Азійсько-Тихоокеанському регіоні"
OF,Платформа невизначеної ваги та розміру,"Platform, unspecified weight or dimension",Подібна піддону транспортувальна платформа невизначеного розміру або невідомої ваги
OK,Блок,Block,"Суцільний шматок твердої речовини, такої як граніт, що має один або більше плоских боків"
OT,Октабін,Octabin,"Стандартний картонний контейнер великих розмірів для зберігання, наприклад, овочів, гранул пластика або інших сухих продуктів"
OU,Контейнер зовнішній,"Container, outer","Коробка, яка використовується як зовнішній транспортувальний контейнер, не віднесена до переліченого транспортувального обладнання"
P2,Лоток,Pan,"Неглибокий широкий відкритий контейнер, звичайно з металу"
PA,Пакет,Packet,Маленький пакунок
PB,Піддон/палет ящик,"Pallet, box",
PC,Посилка,Parcel,
PD,Піддон/палет модульний з обичайкою розміром 80 см на 100 см,"Pallet, modular, collars 80 cm х 100 cm",Піддон стандартних розмірів 80 х 100 см
PE,Піддон/палет модульний з обичайкою розміром 80 см на 120 см,"Pallet, modular, collars 80 cm х 120 cm",Піддон стандартних розмірів 80 х 120 см
PF,Загін для худоби,Pen,Невелика огорожа з відкритим верхом для утримання тварин
PG,Плита,Plate,
PH,Глек великий,Pitcher,
PI,Труба,Pipe,
PJ,Квадратна/прямокутна для ягід/фруктів корзина зі шпону,Punnet,
PK,Пакунок,Package,Стандартна пакувальна одиниця
PL,Відро,Pail,"Контейнер з відкритим верхом, зазвичай з металу або пластику, для перевезення рідин"
PN,Дошка товста,Plank,
PO,Сумка,Pouch,
PP,Штука,Piece,Незв'язана або не запакована одиниця товару
PR,Резервуар пластиковий,"Receptacle, plastic",Захисна оболонка з пластика для зберігання речовин та предметів
PT,Горщик,Pot,
PU,Лоток,Tray,
PV,Труби у зв'язці/пакеті/штабелі,"Pipes, in bundle/bunch/truss",
PX,Піддон/палет,Pallet,"Платформа або коробка з відкритим верхом, зазвичай виготовлена з дерева, на якій розміщуються товари для спрощення виконання автоматизованих операцій під час транспортування та зберігання"
PY,Плити у зв'язці/пакеті/штабелі,"Plates, in bundle/bunch/truss",
PZ,Дошка товста у зв'язці/пакеті/штабелі,"Planks, in bundle/bunch/truss",
QA,Барабан сталевий з нез'ємним днищем,"Drum, steel, non-removable head",
QB,Барабан сталевий зі з'ємним днищем,"Drum, steel, removable head",
QC,Барабан з алюмінію з нез'ємним днищем,"Drum, aluminium, non-removable head",
QD,Барабан з алюмінію зі з'ємним днищем,"Drum, aluminium, removable head",
QF,Барабан з пластику з нез'ємним днищем,"Drum, plastic, non-removable head",
QG,Барабан з пластику зі з'ємним днищем,"Drum, plastic, removable head",
QH,Бочка дерев'яна з пробкою,"Barrel, wooden, bung type",
QJ,Бочка дерев'яна зі з'ємним днищем,"Barrel, wooden, removable head",
QK,Каністра сталева з нез'ємним днищем,"Jerrican, steel, non-removable head",
QL,Каністра зі з'ємним днищем,"Jerrican, steel, removable head",
QM,Каністра з пластику з нез'ємним днищем,"Jerrican, plastic, non-removable head",
QN,Каністра з пластику зі з'ємним днищем,"Jerrican, plastic, removable head",
QP,"Коробка з натуральної деревини, звичайна","Box, wooden, natural wood, ordinary",
QQ,Коробка з натуральної деревини з щільними стінками,"Box, wooden, natural wood, with soft proof walls",
QR,Коробка з пінопласту,"Box, plastic, expanded",
QS,Коробка з твердого пластику,"Box, plastic, solid",
RD,Пруток,Rod,
RG,Кільце,Ring,"Порожнистий, круговий матеріал, загорнутий навколо себе"
RJ,"Стійка, вішалка для одягу","Rack, clothing hanger",
RK,Стійка,Rack,
RL,Катушка,Reel,"Циліндрична катушка з ободами з обох країв, на яку намотують матеріал"
RO,Згорток,Roll,"Пакет, згорнутий у формі кулі або циліндру"
RT,"Сітка ""Реднет""",Rednet,"Матеріал, виготовлений з червоної сітки для зберігання предметів (наприклад дерев)"
RZ,Прутки у зв'язці/пакеті/штабелі,"Rods, in bundle/bunch/truss",
SA,Лантух,Sack,
SB,Сляб,Slab,
SC,"Ящик решітчастий, мілкий","Crate, shallow",
SD,Веретено,Spindle,
SE,Кінгстонна коробка,Sea-chest,
SH,Пакет малий,Sachet,
SI,Стелаж,Skid,Малорухома платформа або піддон для спрощення обробки та транспортування товарів
SK,Ящик каркасний,"Case, skeleton",
SL,Лист прокладний,Slip-sheet,"Міцний лист пластику, картону або іншого матеріалу, який використовується найголовніше для перекладання товарів для оптимізації простору всередині контейнера. Може використовуватись як альтернатива для пакування на піддонах."
SM,Лист металевий,Sheet metal,
SO,Шпулька,Spool,"Пакувальний контейнер, який використовується для транспортування таких товарів як провід, кабель, стрічка та нитка"
SP,Лист з пластиковим покриттям,"Sheet, plastic wrapping",
SS,Ящик сталевий,"Case, steel",
ST,Аркуш (лист),Sheet,
SU,Валіза,Suitcase,
SV,Обгортка сталева,"Envelope, steel",
SW,У термоусадочній плівці,Shrink-wrapped,"Товари, огорнуті навколо та щільно стягнуті прозорою поліетиленовою плівкою"
SX,Комплект,Set,
SY,Гільза,Sleeve,
SZ,Листи у зв'язці/пакеті/штабелі,"Sheets, inbundle/bunch/truss",
T1,Пігулка,Tablet,"Незв'язана або не запакована одиниця товару у формі бруска, блоку або окремої одиниці"
TB,Діжка,Tub,Круглий відкритий дерев'яний контейнер з плоским дном
TC,Чайна коробка,Tea-chest,
TD,Розбірна трубка чи туба,"Tube, collapsible",
TE,Шина,Tyre,"Коло, виготовлене з гуми та/або металу, розміщене навколо колеса"
TG,Цистерна універсальна,"Tank container, generic",Спеціально сконструйований контейнер для транспортування рідин та газів наливом
TI,Діжка дерев'яна,Tierce,
TK,Бак прямокутний,"Tank, rectangular",
TL,Діжка з кришкою,"Tub, with lid",
TN,Бляшанка,Tin,
TO,"Бочка для вина чи пива, велика",Tun,
TR,Дорожня скриня,Trunk,
TS,"Жмуток, зв'язка",Truss,
TT,Мішок,"Bag, tote",Місткий мішок або корзина
TU,Тюбик,Tube,
TV,Тюбик з насадкою,"Tube, with nozzle","Тюбик, виготовлений з пластику, металу або картону з насадкою, який містить рідку або напіврідку речовину, наприклад силікон"
TW,"Піддон/палет, тришаровий","Pallet, triwall","Легкий піддон, виготовлений з рифленої дошки"
TY,Бак циліндричний,"Tank, cylindrical","Циліндричний контейнер, придатний для зберігання або перевезення рідин, газів"
TZ,Трубки чи туби у зв'язці/пакеті/штабелі,"Tubes, in bundle/bunch/truss",
UC,Без кліті,Uncaged,
UN,Одиниця,Unit,"Тип пакування, що складає окрему одиницю або об'єкт, не віднесений до перелічених транспортувальних одиниць"
VA,Бак,Vat,
VG,"Об'ємні перевезення, газ (при 1031 мбар та 15 C)","Bulk, gas (at 1031 mbar and 15 C)",
VI,Флакон,Vial,
VK,"Консоль для обладнання, пристосована для міні фургону",Vanpack,Тип дерев'яної кліті
VL,"Об'ємні перевезення, рідина","Bulk, liquid",
VN,Транспортний засіб,Vehicle,Самохідні транспортні засоби
VO,"Об'ємні перевезення, великі частки (""кульки"")","Bulk, solid, large particles (nodules)",
VP,Вакуумна упаковка,Vacuum-packed,"Пакунок, з якого видалено все повітря для збереження свіжості"
VQ,"Об'ємні перевезення, зріджений газ (особливий режим температури та тиску)","Bulk, liquedfied gas (at abnormal temperature/pressure)",
VR,"Об'ємні перевезення, гранульовані частки (""зерно"")","Bulk, solid, granular, particles (grains)",
VS,Навалом металобрухт,"Bulk, scrap metal","Незапакований металобрухт, що переміщується навалом"
VY,"Об'ємні перевезення, дрібні частки (""порошок"")","Bulk, solid, fine particles (powders)",
WA,Контейнер середньої вантажопідйомності для масових вантажів,Intermediate bulk container,"Контейнер багаторазового використання, виготовлений з металу, пластику, текстилю, дерева або композитних матеріалів, який використовується для транспортування твердих насипних та рідких речовин у відповідних обсягах"
WB,Пляшка оплетена,Wicker bottle,
WC,"Контейнер середньої вантажопідйомності для масових вантажів, сталевий","Intermediate bulk container, steel",
WD,"Контейнер середньої вантажопідйомності для масових вантажів, алюмінієвий","Intermediate bulk container, aluminium",
WF,"Контейнер середньої вантажопідйомності для масових вантажів, металевий","Intermediate bulk container, metal",
WG,"Контейнер середньої вантажопідйомності для масових вантажів, сталевий, герметизований понад 10 КПа","Intermediate bulk container, steel, pressurised > 10 kpa",
WH,"Контейнер середньої вантажопідйомності для масових вантажів, алюмінієвий герметизований понад 10 КПа","Intermediate bulk container, aluminium, pressurised > 10 kpa",
WJ,"Контейнер середньої вантажопідйомності для масових вантажів, металевий, герметизований понад 10 КПа","Intermediate bulk container, metal, pressure 10 kpa",
WK,"Контейнер середньої вантажопідйомності для наливних вантажів, сталевий","Intermediate bulk container, steel, liquid",
WL,"Контейнер середньої вантажопідйомності для наливних вантажів, алюмінієвий","Intermediate bulk container, aluminium, liquid",
WM,"Контейнер середньої вантажопідйомності для наливних вантажів, металевий","Intermediate bulk container, metal, liquid",
WN,"Контейнер середньої вантажопідйомності для масових вантажів, з пластикової тканини без зовнішнього/внутрішнього обшиття","Intermediate bulk container, woven plastic, without coat/liner",
WP,"Контейнер середньої вантажопідйомності для масових вантажів, з пластикової тканини, з зовнішнім обшиттям","Intermediate bulk container, woven plastic, coated",
WQ,"Контейнер середньої вантажопідйомності для масових вантажів, з пластикової тканини, з внутрішнім обшиттям","Intermediate bulk container, woven plastic, with liner",
WR,"Контейнер середньої вантажопідйомності для масових вантажів, з пластикової тканини, з зовнішнім та внутрішнім обшиттям","Intermediate bulk container, woven plastic, coated and liner",
WS,"Контейнер середньої вантажопідйомності для масових вантажів, з пластикової плівки","Intermediate bulk container, plastic film",
WT,"Контейнер середньої вантажопідйомності для масових вантажів, текстильний без зовнішнього/внутрішнього обшиття","Intermediate bulk container, textile without coat/liner",
WU,"Контейнер середньої вантажопідйомності для масових вантажів, з натуральної деревини з внутрішнім обшиттям","Intermediate bulk container, natural wood, with inner liner",
WV,"Контейнер середньої вантажопідйомності для масових вантажів, текстильний з зовнішнім обшиттям","Intermediate bulk container, textile, coated",
WW,"Контейнер середньої вантажопідйомності для масових вантажів, текстильний з внутрішнім обшиттям","Intermediate bulk container, textile, with liner",
WX,"Контейнер середньої вантажопідйомності для масових вантажів, текстильний з зовнішнім та внутрішнім обшиттям","Intermediate bulk container, textile, coated and liner",
WY,"Контейнер середньої вантажопідйомності для масових вантажів, фанерний з внутрішнім обшиттям","Intermediate bulk container, plywood, with inner liner",
WZ,"Контейнер середньої вантажопідйомності для масових вантажів, з відтвореної деревини з внутрішнім обшиттям","Intermediate bulk container, reconstituted wood, with inner liner",
XA,"Мішок з пластикової тканини, без внутрішнього покриття/вкладиша","Bag, woven plastic, without inner coat/liner",
XB,"Мішок з пластикової тканини, щільний","Bag, woven plastic, sift proof",
XC,"Мішок з пластикової тканини, водонепроникний","Bag, woven plastic, water resistant",
XD,Мішок з пластикової плівки,"Bag, plastic film",
XF,"Мішок текстильний, без внутрішнього покриття/вкладиша","Bag, textile, without inner coat/liner",
XG,"Мішок текстильний, щільний","Bag, textile, sift proof",
XH,"Мішок текстильний, водонепроникний","Bag, textile, water resistant",
XJ,"Мішок паперовий, багатошаровий","Bag, paper, multi-wall",
XK,"Мішок паперовий, багатошаровий, водонепроникний","Bag, paper, multi-wall, water resistant",
YA,"Комбіноване пакування, пластикова ємність у сталевому барабані","Composite packaging, plastic receptacle in steel drum",
YB,"Комбіноване пакування, пластикова ємність у ящику решітчастому із сталі","Composite packaging, plastic receptacle in steel crate box",
YC,"Комбіноване пакування, пластикова ємність у барабані з алюмінію","Composite packaging, plastic receptacle in aluminium drum",
YD,"Комбіноване пакування, пластикова ємність у решітчастому ящику з алюмінію","Composite packaging, plastic receptacle aluminium crate",
YF,"Комбіноване пакування, пластикова ємність у коробці з дерева","Composite packaging, plastic receptacle in wooden box",
YG,"Комбіноване пакування, пластикова ємність у барабані з фанери","Composite packaging, plastic receptacle in plywood drum",
YH,"Комбіноване пакування, пластикова ємність у коробці з фанери","Composite packaging, plastic receptacle plywood box",
YJ,"Комбіноване пакування, пластикова ємність у фібровому барабані","Composite packaging, plastic receptacle in fibre drum",
YK,"Комбіноване пакування, пластикова ємність у коробці з фібрового картону","Composite packaging, plastic receptacle fibreboard box",
YL,"Комбіноване пакування, пластикова ємність у пластиковому барабані","Composite packaging, plastic receptacle in plastic drum",
YM,"Комбіноване пакування, пластикова ємність у коробці з твердої пластмаси","Composite packaging, plastic receptacle in solid plastic box",
YN,"Комбіноване пакування, скляна ємність у барабані із сталі","Composite packaging, glass receptacle in steel drum",
YP,"Комбіноване пакування, скляна ємність у ящику решітчастому із сталі","Composite packaging, glass receptacle in steel crate box",
YQ,"Комбіноване пакування, скляна ємність у барабані з алюмінію","Composite packaging, glass receptacle, in aluminium drum",
YR,"Комбіноване пакування, скляна ємність у ящику решітчастому з алюмінію","Composite packaging, glass receptacle in aluminium crate",
YS,"Комбіноване пакування, скляна ємність у коробці дерев'яній","Composite packaging, glass receptacle in wooden box",
