Code,Name,Description,,Назва укр.,Опис укр.
BE,Beneficiary,(3260) The ultimate recipient of the funds. Normally the account owner who is reimbursed by the payer.,,Бенефіціар (одержувач),"(3260) Кінцевий одержувач коштів. Зазвичай власник рахунку, якому відшкодовує платник."
BF,Beneficiary's bank,(3422) Identifies the account servicer for the beneficiary or the payee.,,Банк бенефіціара (одержувача),"(3422) Ідентифікує рахунок, що обслуговується для бенефіціара або одержувача."
BG,Employer,A party that keeps a person in service for payment.,,"Роботодавець
","Сторона, яка утримує людину на роботі за платі."
BH,Previous employer,Previous employer of a person(s).,,Попередній роботодавець,Попередній роботодавець особи (осіб).
BI,Buyer's financial institution,Financial institution designated by buyer to make payment.,,Фінансова установа покупця,"Фінансова установа, визначена покупцем для здійснення платежу."
BJ,Release to party,Party to which the goods or container(s) is (are) to be released.,,Випуск для сторони,"Сторона, якій випускається товар або контейнер (и)."
BK,Financial institution,Party acting as financial institution.,,Фінансова установа,"Сторона, яка діє як фінансова установа."
BL,Bill of lading recipient,Party to receive B/L.,,Одержувач коносамента,"Сторона, яка одержує коносамент."
BM,Insured,[3136] Party which is the object of an insurance contract.,,Застрахований (а),"[3136] Сторона, яка є об’єктом договору страхування."
BN,Insurance beneficiary,Party which benefits from insurance coverage.,,Бенефіціар страхування,"Сторона, яка користується страховим покриттям."
BO,Broker or sales office,Party acting in the name of the seller as broker or as sales office.,,Брокер або офіс продажів,"Сторона, яка діє від імені продавця як брокер або офіс продажів."
BP,Building site purchaser,Party at the building site responsible for the purchasing of goods and services for that particular site.,,Покупець будівельного майданчику,"Сторона на будівельному майданчику, відповідальна за закупівлю товарів та послуг для цього будівельного майданчику."
BQ,Cheque drawn bank,"Identifies the bank on which the cheque should be drawn, as instructed by the ordering customer.",,"Чек, виписаний банком","Визначає банк, у якому має бути виписаний чек, відповідно до вказівок клієнта-замовника."
BS,Bill and ship to,Party receiving goods and relevant invoice.,,Рахунок і доставка,"Сторона, що отримує товар та відповідний рахунок-фактуру."
BT,Party to be billed for other than freight (bill to),Party receiving invoice excluding freight costs.,,"Сторона, за яку виставляється рахунок, окрім плати за транспортні витрати (рахунок до)","Сторона, що отримує рахунок-фактуру без урахування транспортних витрат."
BU,Service bureau,"Party carrying out service bureau processing work, (e.g. a payroll bureau).",,Бюро з обслуговування,"Сторона, яка виконує роботу з обробки в бюро обслуговування (наприклад, бюро з нарахування заробітної плати)."
BV,Member ,Member of a group (e.g. of a group of persons or a service scheme).,,Учасник,"УчасникУчасник групи (наприклад, групи осіб або схеми обслуговування)."
BW,Borrower ,A person who acquires something temporarily with the promise or intention of returning.,,Позичальник,"Особа, яка тимчасово щось набуває з обіцянкою чи наміром повернути позичене."
BX,Building site engineer ,Party at the building site responsible for engineering matters for that particular site.,,Інженер будівельного майданчика,"Сторона на будівельному майданчику, відповідальна за інженерні питання цього конкретного майданчику."
BY,Buyer ,[3002] Party to which merchandise or services are sold.,,Покупець ,"[3002] Сторона, якій продаються товари чи послуги."
BZ,Building site forwarder ,Party at the building site responsible for forwarding the received goods on that particular site.,,"Експедитор будівельних майданчиків
","Сторона на будівельному майданчику, відповідальна за пересилання отриманих товарів саме на цей майданчик."
C1,In care of party no. 1 ,A person taking responsibility on behalf of party no. 1.,,Під відповідальністю сторони №1,"Особа, що бере на себе відповідальність від імені сторони № 1."
C2,In care of party no. 2 ,A person taking responsibility on behalf of party no. 2.,,Під відповідальністю сторони №2,"Особа, що бере на себе відповідальність від імені сторони № 2."
CA,Carrier ,"
 [3126] Party undertaking or arranging transport of goods between named points.",,Перевізник,"[3126] Сторона, що здійснює або організовує перевезення вантажів між вказаними пунктами."
CB,Customs broker ,"
 Agent or representative or a professional Customs clearing agent who deals directly with Customs on behalf of the importer or exporter (CCC).",,"Митний брокер
","Агент, або представник, чи професійний митний кліринговий агент, який безпосередньо має справу з митницею від імені імпортера чи експортера (CCC)."
CC,Claimant ,"
 Party who claims goods or insurance.",,Позивач,"Сторона, що претендує на товар чи страхування."
CD,Agent's bank ,"
 Bank of the agent.",,"Агентський банк
",Банк агента.
CE,Ceding company ,"
 Company which cedes something to someone.",,Цедент (перестрахувальник),"Компанія, якась поступається чимось іншому (іншій) компанії."
CF,Container operator/lessee ,"
 Party to whom the possession of specified property (e.g. container) has been conveyed for a period of time in return for rental payments.",,"Оператор контейнера/орендар
","Сторона, якій на певний період часу передається володіння певним майном (наприклад, контейнером) в обмін на орендні платежі."
CG,Carrier's agent ,"
 [3052] Party authorized to act for or on behalf of carrier.",,Агент перевізника,"[3052] Сторона, уповноважена діяти від імені перевізника."
CH,Connecting carrier ,"
 Owner or operator of a transportation conveyance to which goods in a given transaction will be transferred.",,Підключений перевізник,"Власник або оператор транспортного засобу, до якого буде передано товар у певній операції."
CI,Commission processor ,"
 Party who provides extra treatment to goods on commission base.",,Комісійний процесор,"Сторона, яка забезпечує додаткову обробку товарів на комісійній основі."
CJ,Previous member ,"
 Previous member of a group of persons or a service scheme.",,"Попередній учасник
",Попередній учасник групи осіб або схеми обслуговування.
CK,Empty equipment despatch party ,"
 Party from whose premises empty equipment will be or has been despatched.",,Сторона відправлення порожнього обладнання,"Сторона, з приміщення якої буде відправлено чи було відправлено порожнє обладнання."
CL,Container location party ,"
 Party from whose premises container will be or has been despatched.",,Сторона з місцем розташування контейнеру,"Сторона, з приміщення якої буде відправлений або був відправлений контейнер."
CM,Customs ,"
 Identification of customs authority relevant to the transaction or shipment.",,Митниці,"Ідентифікація митних органів, що стосується операції або відвантаження."
CN,Consignee ,"
 [3132] Party to which goods are consigned.",,Одержувач вантажу,"[3132] Сторона, до якої відправляються товари."
CNX,Cash pool top account servicing financial institution ,"
 Identification of a financial institution servicing the top account of a cash pool.",,"Фінансова установа, що обслуговує готівковий пул","Ідентифікація фінансової установи, яка обслуговує головний рахунок пулу готівки."
CNY,Cash pool level account servicing financial institution ,"
 Identification of a financial institution servicing the level account of a cash pool.",,"Фінансова установа, що обслуговує рахунок на рівні грошового пулу","Ідентифікація фінансової установи, що обслуговує рахунок рівня грошового пулу."
CNZ,Cash pool sub-account servicing financial institution ,"
 Identification of a financial institution servicing the sub-account of a cash pool.",,"Фінансова установа, що обслуговує субрахунок готівки","Ідентифікація фінансової установи, яка обслуговує субрахунок пулу готівки."
CO,Corporate office ,"
 Identification of the Head Office within a company.",,Корпоративний офіс,Ідентифікація головного офісу в компанії.
COA,Entity in which a financial interest is held ,"
 Business in which a financial interest is held.",,"Суб'єкт господарювання, у якого є фінансовий інтерес","Бізнес, у якого є фінансові інтереси."
COB,Intermediate level parent company ,"
 Identifies an intermediate parent company.",,Материнська компанія середнього рівня,Визначає проміжну материнську компанію.
COC,Transshipment party ,"
 A party responsible for transshipment.",,Сторона перевалки,"Сторона, відповідальна за перевалку."
COD,Quotation requesting party ,"
 Party sending a request for a quotation.",,"Сторона, що запитує пропозицію","Сторона, що надсилає запит на пропозицію."
COE,Party maintaining the codes used in the message ,"
 The party which maintains the codes used in the message.",,"Сторона, що підтримує коди, які використовуються у повідомленні","Сторона, що підтримує коди, які використовуються у повідомленні"
COF,Party maintaining the identifiers used in the message ,"
 The party which maintains the identifiers used in the message.",,"Сторона зберігає ідентифікатори, що використовуються у повідомленні","Сторона, яка зберігає ідентифікатори, що використовуються у повідомленні"
COG,Dispatcher ,"
 An individual responsible for sending something to a destination.",,Диспетчер,"Особа, відповідальна за відправлення чогось до пункту призначення."
COH,Submitter of sample ,"
 An entity responsible for the submission of a sample.",,Надавач зразка,"Суб’єкт, відповідальний за подання зразка."
COI,Institutional provider ,"
 The institution providing the service.",,Інституційний надавач,"Установа, що надає послуги."
COJ,Primary health care provider ,"
 Health care provider that has primary responsibility for patient.",,Надавач первинної медичної допомоги,"Лікар, який несе першочергову відповідальність за пацієнта."
COK,Assistant surgeon ,"
 Physician assisting in surgery.",,Асистент хірурга,"Лікар, що надає допомогу в хірургії."
COL,Admitting health care provider ,"
 Health care provider that admitted the patient.",,Прийомний лікар,"Лікар, який прийняв пацієнта."
COM,Referring health care provider ,"
 Health care provider that referred patient to current provider of services.",,"Надавач послуг, що направив","Лікар, який направив пацієнта до поточного надавача послуг."
CON,Supervising health care provider ,"
 Health care provider that supervised the rendering of a service.",,Наглядовий медичний працівник,"Медичний працівник, який контролював надання послуг."
COO,Party providing financing ,"
 Identifies the party providing the financing.",,"Сторона, що надає фінансування","Визначає сторону, яка надає фінансування."
COP,Convoying party ,"
 Party designated to escort the transported goods.",,"Сторона, що здійснює конвоювання","Сторона, призначена для супроводу вантажів, що перевозяться."
COQ,Nominated bank ,"
 Identifies the nominated bank.",,Висунутий банк,Ідентифікує висунутий банк.
COR,Family member ,"
 Identifies a family member.",,Член сім'ї,Ідентифікує члена сім’ї.
COS,Co-participant ,"
 Identifies another party who participates in an activity.",,Співучасник,"Визначає іншу сторону, яка бере участь у діяльності."
COT,Involved party ,"
 Party which is involved in an activity.",,Залучена сторона,"Сторона, яка бере участь у діяльності."
COU,Assigner ,"
 Identifies the entity who assigns.",,Доручитель,"Визначає об'єкт, який доручає."
COV,Registered principal ,"
 An individual who is registered as a principal for an entity.",,Зареєстрований довіритель,"Фізична особа, зареєстрована як довіритель юридичної особи."
COW,Freight payer on behalf of the consignor ,"
 (3470) Freight payer is a third party acting on behalf of the consignor.",,Платник вантажу від імені вантажовідправника,"(3470) Платником фрахту є третя сторона, яка діє від імені вантажовідправника."
COX,Freight payer on behalf of the consignee ,"
 (3470) Freight payer is a third party acting on behalf of the consignee.",,Платник вантажу від імені вантажоодержувача,"(3470) Платником фрахту є третя сторона, яка діє від імені вантажоодержувача."
COY,Party responsible for disinfection,"
 Party responsible for performing disinfection operations.",,"Сторона, відповідальна за дезінфекцію","Сторона, відповідальна за проведення операцій з дезінфекції."
COZ,Party responsible for refueling ,"
 Party responsible for performing refueling operations.",,"Сторона, відповідальна за заправлення","Сторона, відповідальна за виконання операцій заправки."
CP,Party to receive certificate of compliance ,"
 Party acting for or on behalf of seller in matters concerning compliance.",,Сторона для отримання сертифіката відповідності,"Сторона, яка діє від імені продавця у питаннях, що стосуються відповідності."
CPA,Advising bank ,"
 [3190] Identifies the financial institution used by the issuing bank to advise the documentary credit.",,Банк-консультант,"[3190] Ідентифікує фінансову установу, що використовується банком-емітентом для надання документального кредиту."
CPB,Reimbursing bank ,"
 Identifies the financial institution through which the reimbursement is to be effected.",,Банк для компенсацій,"Визначає фінансову установу, через яку має здійснюватися відшкодування."
CPC,Advise through bank ,"
 Identifies the financial institution through which the advising bank is to advise.",,Консультувати через банк,"Визначає фінансову установу, через яку банк-консультант має надавати консультації."
CPD,Charges payer at destination ,"
 Party, other than the ordering party, which has to pay the charges concerning the destination operations.",,Оплачує платника в пункті призначення,"Сторона, крім сторони-замовника, яка повинна сплатити витрати, що стосуються операцій призначення."
CPE,Transport means master name ,"
 [3408] Name of the Master of a means of transport such as vessel.",,Значення-назва керівника транспорту,"[3408] Назва капітана транспортного засобу, наприклад судна."
CPF,Means of transport charterer ,"
 Charterer of the means of transport.",,Значення фрахтувальника транспортного засобу,Фрахтувальник транспортних засобів.
CPG,Excise party ,"
 Party to whom excise must be paid.",,Акцизна сторона,"Сторона, якій потрібно сплатити акциз."
CPH,Copy report to ,"
 Party receiving a copy of a report.",,Скопіювати звіт для,"Сторона, що отримує копію звіту."
CPI,Related healthcare party ,"
 A healthcare party related to the subject.",,"Сторона, пов'язана із охороною здоров'я","Сторона охорони здоров’я, пов’язана з цією темою."
CPJ,Clinical information provider ,"
 Party providing clinical information.",,Надавач клінічної інформації,"Сторона, що надає клінічну інформацію."
CPK,Service requester ,"
 Party requesting a service.",,Запитувач послуг,"Сторона, яка запитує послугу."
CPL,Patient admitted by ,"
 Party who admitted a patient.",,Пацієнт прийнятий,"Сторона, яка прийняла пацієнта."
CPM,Patient discharged to ,"
 The party who receives the discharged patient.",,Пацієнта виписано до,"Сторона, яка приймає виписаного пацієнта."
CPN,Patient hosted by ,"
 The party hosting the patient.",,Пацієнт прийнятий,"Сторона, яка приймає пацієнта."
CPO,Prescriber's contact person ,"
 Contact person for the prescriber.",,"Контактна особа лікаря, що призначив лікування","Контактна особа лікаря, що призначив лікування."
CQ,Cheque order ,"
 Party to which the cheque will be ordered, when different from the beneficiary.",,Чекове замовлений,"Сторона, якій буде замовлено чек, коли він відрізняється від бенефіціара."
CR,Empty equipment return party ,"
 Party to whose premises empty equipment will be or has been returned.",,Сторона повернення порожнього обладнання,"Сторона, у приміщення якої буде повернено або повернуто порожнє обладнання."
CS,Consolidator ,"
 Party consolidating various consignments, payments etc.",,Консолідатор,"Сторона, що консолідує різні вантажі, платежі тощо."
CT,Consignee to be specified ,"
 The party to be identified at a later time as the consignee.",,Одержувач повинен бути зазначений,"Сторона, яка пізніше буде ідентифікована як одержувач."
CU,Container return company ,"
 The company to which containers have to be returned.",,Компанія для повернення контейнерів,"Компанія, якій потрібно повернути контейнери."
CV,Consignee of vessel ,"
 Party to which the vessel shall be delivered.",,Одержувач судна,"Сторона, якій судно буде доставлено."
CW,Equipment owner ,"
 Owner of equipment (container, etc.).",,Власник обладнання,Власник обладнання (контейнера тощо).
CX,Consignee's agent ,"
 Party authorized to act on behalf of the consignee.",,Агент одержувача,"Сторона, уповноважена діяти від імені одержувача."
CY,Commissionable agent ,"
 IATA cargo agent entitled to commission.",,Комісійний агент,"Вантажний агент IATA, що має право на комісію."
CZ,Consignor ,"
 [3336] Party which, by contract with a carrier, consigns or sends goods with the carrier, or has them conveyed by him. Synonym: shipper, sender.",,Відправник,"[3336] Сторона, яка за контрактом з перевізником відправляє або надсилає вантажі разом із перевізником або передає їх їм. Синонім: відправник."
DA,Available with bank (documentary credits) ,"
 Financial institution with whom the documentary credit is available.",,Доступно в банку (документальні кредити),"Фінансова установа, у якої є документальний кредит."
DB,Distributor branch ,"
 The affiliate of a retailer or distributor.",,Філія Покупця (Дистриб'ютора),Філія роздрібного продавця або Покупця (Дистриб'ютора).
DC,Deconsolidator ,"
 Party that splits up a large consignment composed of separate consignments of goods. The smaller consignments of goods were grouped together into that large consignment for carriage as a larger unit in order to obtain a reduced rate.",,Деконсолідатор,"Сторона, яка розділяє велику партію, що складається з окремих партій товарів. Менші партії вантажів були об’єднані у цю велику партію для перевезення як більша одиниця, аби отримати знижену ставку."
DCP,Despatch charge payer ,"
 Party, other than the ordering party, which has to pay the charges concerning the despatch operations.",,Платник відправних платежів,"Сторона, крім замовляючої сторони, яка повинна сплатити витрати, пов'язані з операціями відправлення."
DCQ,Prescription database owner ,"
 Organisation or person owning a prescription database.",,Власник бази даних рецептів,"Організація або особа, що володіє базою даних рецептів"
DCR,Original prescriber ,"
 The doctor who issued the original prescription.",,Оригінальний прописувач,"Лікар, який видав оригінальний рецепт."
DCS,Temporary employee ,"
 A person employed on a temporary basis.",,Тимчасовий працівник,"Особа, яка працює на тимчасовій основі."
DCT,Designer ,"
 A party who designs.",,Дизайнер,"Сторона, яка займається дизайном."
DCU,Quotation delivered to ,"
 Party to whom the quotation is to be or has been delivered.",,Пропозиція доставлена до,"Сторона, якій має бути подана або була подана пропозиція."
DCV,Developer ,"
 A party who develops.",,Розробник,"Сторона, яка розробляє."
DCW,Test execution party ,"
 The party performing a test.",,Сторона виконання випробування,"Сторона, яка проводить випробування"
DCX,Party to receive refund ,"
 Party to whom a refund is given.",,Сторона для отримання відшкодування,"Сторона, якій повертають кошти."
DCY,Authorised issuer of prescription ,"
 Party authorised to issue a prescription.",,Уповноважений видавник рецепта,"Сторона, уповноважена видавати рецепт."
DCZ,Authorised dispenser of medicine ,"
 Organisation or person authorised to dispense medicine.",,Уповноважений розпорядник лікарських засобів,"Організація або особа, уповноважена відпускати ліки."
DD,Documentary credit account party's bank ,"
 Bank of the documentary credit account party.",,Банк сторони з рахунком документарного кредиту,Банк сторони документарного кредитного рахунку.
DDA,Report responsible party ,"
 The party or person taking responsibility for a report.",,"Сторона, відповідальна за повідомлення","Сторона або особа, що бере на себе відповідальність за повідомлення."
DDB,Initial sender ,"
 The party who does the initial sending.",,Початковий відправник,"Сторона, яка здійснює первинне надсилання."
DDC,The party authorising the original prescription ,"
 The party authorising the issuer of the original prescription.",,"Сторона, що підтверджує справжність рецепта","Сторона, яка уповноважує видавця справжнього рецепта."
DDD,Applicant , A party who applies for something.,,Аплікант,"Сторона, яка заявляє/подає про щось"
DDE,Meter reader ,"
 A party physically reading the meter.",,Зчитувач лічильників,"Сторона, яка фізично зчитує лічильник."
DDF,Primary electronic business contact ,"
 Code specifying a party who serves as a business entity's primary contact for matters related to electronic business.",,Первинний електронний діловий контакт,"Код, що визначає сторону, яка є основним контактом суб’єкта господарювання з питань, пов’язаних з електронним бізнесом."
DDG,Alternate electronic business contact ,"
 Code specifying a party who serves as a business entity's alternate contact for matters related to electronic business.",,Альтернативний електронний діловий контакт,"Код, що визначає сторону, яка є альтернативним контактом суб’єкта господарювання з питань, пов’язаних з електронним бізнесом."
DDH,Primary government business contact ,"
 Code specifying a party who serves as a business entity's primary contact for matters related to doing business with the government.",,Первинний діловий контакт уряду,"Код, що визначає сторону, яка є основним контактом суб’єкта господарювання з питань, пов’язаних із веденням бізнесу з урядом."
DDI,Alternate government business contact ,"
 Code specifying a party who serves as a business entity's alternate contact for matters related to doing business with the government.",,Альтернативний діловий контакт уряду,"Код, що визначає сторону, яка є альтернативним контактом суб’єкта господарювання з питань, пов’язаних із веденням бізнесу з урядом."
DDJ,Past performance contact ,"
 Code specifying a party who serves as a business entity's contact for matters related to the past performance of that entity.",,Контакт щодо минулих показників,"Код, що визначає сторону, яка є контактною особою суб’єкта господарювання з питань, пов’язаних із минулою діяльністю цього суб’єкта господарювання."
DDK,Balance responsible party ,"
 A party responsible for balancing supply and consumption.",,"Сторона, відповідальна за баланс","Сторона, відповідальна за балансування пропозиції та споживання."
DDL,Group of passengers ,"
 A group of persons conveyed by a means of transport, other than the crew.",,Група пасажирів,"Група осіб, які перевозяться транспортним засобом, крім екіпажу."
DDM,Grid operator ,"
 A party operating a grid.",,Оператор мережі,"Сторона, що керує мережею."
DDN,First financial institution in the transaction chain ,"
 Identifies the financial institution that is the point of entry into the interbank transaction chain.",,Перша фінансова установа в ланцюжку операцій,"Визначає фінансову установу, яка є точкою входу в ланцюжок міжбанківських операцій."
DDO,Location manager ,"
 Party responsible for the management of the location.",,Менеджер локації,"Сторона, відповідальна за управління локацією."
DDP,Group leader ,"
 Party responsible for leading the group.",,Лідер групи,"Сторона, відповідальна за керівництво групою."
DDQ,Balance power supplier ,"
 The supplier of balance power.",,Постачальник балансової потужності,Постачальник балансової потужності
DDR,Consignor's freight forwarder ,"
 Identification of freight forwarder giving services to the consignor.",,Експедитор вантажовідправника,"Ідентифікація експедитора, що надає послуги відправнику."
DDS,Consignee's freight forwarder ,"
 Identification of freight forwarder giving services to the consignee.",,Експедитор вантажоодержувача,"Ідентифікація експедитора, що надає послуги одержувачу."
DDT,In transit crew member ,"
 The movement of a crew member from one country to another via the territory of an intermediate country for which no entry is intended.",,Член екіпажу в транзиті,"Переміщення члена екіпажу з однієї країни в іншу через територію проміжної країни, куди не призначений в'їзд."
DDU,In transit passenger ,"
 The movement of a passenger from one country to another via the territory of an intermediate country for which no entry is intended.",,Пасажир в транзиті,"Переміщення пасажира з однієї країни в іншу через територію проміжної країни, куди не призначено в’їзд."
DDV,Energy consumption imbalance responsible party ,"
 A party who can be brought to rights, legally and financially, for any imbalance between energy bought and consumed for all associated metering points.",,Відповідальна сторона за дисбаланс споживання енергії,"Сторона, яку можна юридично та фінансово притягнути до відповідальності за будь-який дисбаланс між енергією, що купується та споживається для всіх відповідних пунктів обліку."
DDW,Energy production imbalance responsible party ,"
 A party who can be brought to rights, legally and financially, for any imbalance between energy sold and produced for all associated metering points.",,Відповідальна сторона за дисбаланс виробництва енергії,"Сторона, яка може бути юридично та фінансово притягнута до відповідальності за будь-який дисбаланс між проданою та виробленою енергією для всіх відповідних пунктів обліку."
DDX,Imbalance settlement responsible party ,"
 A party that is responsible for settlement of the difference between planned and realised quantities.",,Відповідальна сторона з врегулювання дисбалансу,"Сторона, яка відповідає за врегулювання різниці між запланованою та реалізованою кількостями."
DDY,Transmission capacity allocator ,"
 A party managing the allocation of transmission capacity.",,Розподільник потужності передачі,"Сторона, яка керує розподілом потужностей передачі."
DDZ,Metering point administrator ,"
 A party responsible for registering the technical specifications of metering points and the parties linked to them.",,Адміністратор пункту обліку,"Сторона, відповідальна за реєстрацію технічних специфікацій пунктів обліку та сторони, пов'язані з нею."
DE,Depositor ,"
 Party depositing goods, financial payments or documents.",,Вкладник,"Сторона, яка депонує товари, фінансові платежі або документи."
DEA,Metered data aggregator ,"
 A party responsible for aggregation of metered data.",,Агрегатор облікових даних,"Сторона, відповідальна за створення сукупностей вимірюваних даних."
DEB,Meter operator ,"
 A party responsible for the operation of a meter, including installing maintaining, testing, certifying and decommissioning.",,Оператор лічильника,"Сторона, відповідальна за роботу лічильника, включаючи встановлення технічного обслуговування, випробування, сертифікацію та виведення з експлуатації."
DEC,Party connected to grid ,"
 A party that contracts for the right to consume or produce electricity at a metering point.",,"Учасник, підключений до мережі","Сторона, яка укладає договір на право споживання або виробництва електроенергії на пункті обліку."
DED,Profile maintenance party ,"
 A party that maintains profiles.",,Сторона з обслуговування профілю,"Сторона, яка веде профілі."
DEE,Stowaway ,"
 A person who hides on a conveyance in order to obtain free passage.",,Безквитковий пасажир,"Людина, яка ховається на транспорті, аби безкоштовно проїхатися."
DEF,Meat cutter ,"
 Person whose job is to cut up and/or mince meat.",,М'ясник,"Особа, чиєю роботою є нарізання та/або м’яса або виготовлення фаршу."
DEG,Consortium Carrier (maritime) ,"
 A marine carrier that transports goods for more than one shipping line between named points.",,Консорціум-перевізник (морський),"Морський перевізник, який перевозить товари більш ніж на одну лінію доставки між названими пунктами."
DEH,Non-vessel operating carrier ,"
 A carrier that does not operate the vessel.",,Несудновий операційний перевізник,"Перевізник, який не експлуатує судно."
DEI,Means of transport operator ,"
 The operator of a means of transport, e.g. the captain of a vessel.",,Значення транспортного оператора,"Оператор транспортного засобу, напр. капітан судна."
DEJ,Stuffing address , Address where cargo is loaded into the transport equipment e.g. container. Synonyms; vanning address / place of vanning.,,Адреса навантаження,"Адреса, де вантаж завантажується в транспортне обладнання, наприклад контейнер."
