№ з/п,Параметр,Тип [1]_,Формат,Опис
3.4.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.4.4,**specifiedGovernmentRegistrations**,M,,Посвідчення Водія / GLN Водія / GLN компанії-учасника
3.4.4.1,id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.4.4.2,typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
3.5,**originalUtilizedLogisticsTransportEquipment**,M,,"Автомобіль, що розвантажується"
3.5.1,id,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
3.5.2.1,**affixedLogisticsSeals**.id,M,string,"Номер пломби, якою проводилося пломбування автомобіля"
3.5.3,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.5.3.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.5.3.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.5.3.1.2,value,O,decimal,"Значення"
3.5.3.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.5.3.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.5.3.2.2,value,O,decimal,"Значення"
3.5.4.1,**applicableNotes** (з кодом BRAND).contentCode,M,string,Код BRAND
3.5.4.2,**applicableNotes** (з кодом BRAND).content,M,string,Марка автомобіля згідно з техпаспортом
3.5.5.1,**applicableNotes** (з кодом MODEL).contentCode,M,string,Код MODEL
3.5.5.2,**applicableNotes** (з кодом MODEL).content,M,string,Модель автомобіля згідно з техпаспортом
3.6,**originalUtilizedLogisticsTransportEquipment** (CategoryCode=TE),O, ,"Причіп/напівпричіп, що розвантажується"
3.6.1,id,O,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом"
3.6.2,categoryCode,O,string,Тип TE - Причіп/напівпричіп
3.6.3,characteristicCode,O,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
3.6.4.1,**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування причіпа/напівпричіпа"
3.6.5,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.6.5.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.6.5.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.6.5.1.2,value,O,decimal,"Значення"
3.6.5.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.6.5.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.6.5.2.2,value,O,decimal,"Значення"
3.6.6.1,**applicableNotes** (з кодом BRAND).contentCode,O,string,Код BRAND
3.6.6.2,**applicableNotes** (з кодом BRAND).content,O,string,Марка причіпа/напівпричіпа згідно з техпаспортом
3.6.7.1,**applicableNotes** (з кодом MODEL).contentCode,O,string,Код MODEL
3.6.7.2,**applicableNotes** (з кодом MODEL).content,O,string,Модель причіпа/напівпричіпа згідно з техпаспортом
3.7,**resealedUtilizedLogisticsTransportEquipment**,M,,"Автомобіль, що завантажується"
3.7.1,id,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
3.7.2.1,**affixedLogisticsSeals**.id,M,string,"Номер пломби, якою проводилося пломбування автомобіля"
3.7.3,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.7.3.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.7.3.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.7.3.1.2,value,O,decimal,"Значення"
3.7.3.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.7.3.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.7.3.2.2,value,O,decimal,"Значення"
3.7.4.1,**applicableNotes** (з кодом BRAND).contentCode,M,string,Код BRAND
3.7.4.2,**applicableNotes** (з кодом BRAND).content,M,string,Марка автомобіля згідно з техпаспортом
3.7.5.1,**applicableNotes** (з кодом MODEL).contentCode,M,string,Код MODEL
3.7.5.2,**applicableNotes** (з кодом MODEL).content,M,string,Модель автомобіля згідно з техпаспортом
3.8,**resealedUtilizedLogisticsTransportEquipment** (CategoryCode=TE),O, ,"Причіп/напівпричіп, що завантажується"
3.8.1,id,O,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом"
3.8.2,categoryCode,O,string,Тип TE - Причіп/напівпричіп
3.8.3,characteristicCode,O,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
3.8.4.1,**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування причіпа/напівпричіпа"
3.8.5,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.8.5.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.8.5.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.8.5.1.2,value,O,decimal,"Значення"
3.8.5.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.8.5.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.8.5.2.2,value,O,decimal,"Значення"
3.8.6.1,**applicableNotes** (з кодом BRAND).contentCode,O,string,Код BRAND
3.8.6.2,**applicableNotes** (з кодом BRAND).content,O,string,Марка причіпа/напівпричіпа згідно з техпаспортом
3.8.7.1,**applicableNotes** (з кодом MODEL).contentCode,O,string,Код MODEL
3.8.7.2,**applicableNotes** (з кодом MODEL).content,O,string,Модель причіпа/напівпричіпа згідно з техпаспортом
3.9,customerNotes,M,string,"Короткий або повний опис причин складання Акта (Замовник)"
3.10,carrierNotes,O,string,Особливі відмітки / Інформація щодо незгоди зі змістом Акта (Перевізник)
4,**certifyingPartyPayload**,M, ,Інформація про відповідальних осіб
4.1,**certifyingTradeParty** (RoleCode=ОВ),M,,"Інформація про Замовника"
4.1.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.1.1.2,**id**.value,O,decimal,Значення
4.1.2,name,M,string,"Посада Замовника"
4.1.3,roleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.1.4.1,**tradeContact**.personName,M,string,"ПІБ Замовника"
4.2,**certifyingTradeParty** (RoleCode=CA),M,,"Інформація про Перевізника"
4.2.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.2.1.2,**id**.value,O,decimal,Значення
4.2.2,name,M,string,"Посада Перевізника"
4.2.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.2.4.1,**tradeContact**.personName,M,string,"ПІБ Перевізника"
4.3,**certifyingTradeParty** (RoleCode=DR),M,,"Інформація про Водія"
4.3.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.3.1.2,**id**.value,O,decimal,Значення
4.3.2,name,O,string,"Посада Водія"
4.3.3,roleCode,O,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.3.4.1,**tradeContact**.personName,O,string,"ПІБ водія"
II,**signatureStorage**,M, ,Підписи
5,**signatures** (SigningPartyRoleCode=OB),M,,"КЕП Замовника"
5.1,signingPartyRoleCode,M,string,Роль підписанта (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
5.2,partySignature,M,string,Підпис (base64 підпису p7s)
5.3,name,M,string,ПІБ підписанта (Замовника)
5.4,position,O,string,Посада підписанта (Замовника)
5.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Замовника)
6,**signatures** (SigningPartyRoleCode=CA),M, ,"КЕП Перевізника"
6.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
6.2,partySignature,M,string,Підпис (base64 підпису p7s)
6.3,name,M,string,ПІБ підписанта (Перевізника)
6.4,position,O,string,Посада підписанта (Перевізника)
6.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Перевізника)
7,**signatures** (SigningPartyRoleCode=DR),M,,"КЕП Водія"
7.1,signingPartyRoleCode,M,string,Роль підписанта (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
7.2,partySignature,M,string,Підпис (base64 підпису p7s)
7.3,name,M,string,ПІБ підписанта (Водія)
7.4,position,O,string,Посада підписанта (Водія)
7.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Водія)
