**Код відповіді**,**Індекс**,**Опис**
400,ERR_TTN-42,"Unknown or unsupported doc type.

Невідомий або непідтримуваний тип документа."
400,ERR_TTN-43,"Mintrans status error. expected: [%s], actual: [%s]

Невідповідність статусу від Мінтранс. Очікуваний [%s],  фактичний [%s]."
400,ERR_TTN-44,"Invalid initiator role

Некоректна роль ініціатора"
400,ERR_TTN-45,"Act for TTN is in process

Присутній незавершений акт до ТТН"
400,ERR_TTN-46,"«template_doc_uuid» and «doc_uuid» parameters cannot be set at the same time

Параметри «template_doc_uuid» і «doc_uuid» не можна встановити одночасно"
400,ERR_TTN-47,"Incorrect doc status

Неправильний статус документа"
400,ERR_TTN-48,"Unknown or unsupported role_code [%s]

Невідомий або непідтримуваний role_code [%s]"
400,ERR_TTN-49,"Unsupported format [%s]

Непідтримуваний формат [%s]"
400,ERR_TTN-50,"Unsupported response_type [%s]

Непідтримуваний response_type [%s]"
400,ERR_TTN-50,"Unsupported %s [%s]

Непідтримуваний %s [%s]"
400,ERR_TTN-51,"Detect sub_status error. Current sub_status: [%s]

Некоректний сабстатус. Поточний сабстатус: [%s]"
400,ERR_TTN-51,"Detect sub_status error. Current sub_status: [%s], allowed sub_statuses: [%s]

Некоректний сабстатус. Поточний сабстатус: [%s], допустимі статуси: [%s]"
400,ERR_TTN-52,"Act is completed

Акт завершено"
400,ERR_TTN-53,"Delivery is completed

Поставку завершено"
400,ERR_TTN-54,"Incorrect attachment type: [%s] one of:  [%s] expected

Неправильний тип вкладення: [%s] очікується  один із: [%s]."
400,ERR_TTN-55,"Unsupported file type [%s]

Непідтримуваний тип файлу [%s]."
400,ERR_TTN-56,"Expected 1 file in multipart/form data

Очікується 1 файл у  multipart/form data"
400,ERR_TTN-57,"Attachment not found

Вкладення не знайдено"
400,ERR_TTN-58,"The list of participants in the basis document does not correspond to the list of participants in the current document

Перелік учасників документа підстави не відповідає переліку учасників поточного документа"
400,ERR_TTN-59,"MINTRANS_ERROR: [%s]

Помилка від Мінтранс: [%s]"
400,ERR_TTN-60,"Fail to parse content in field [%s]

Не вдалося опрацювати контент у полі [%s]"
400,ERR_TTN-61,"INVALID_SIGN_FORMAT, CADES_X_LONG is expected

Некоректний формат підпису, допустимий лише CADES_X_LONG"
400,ERR_TTN-62,"Gln for address [%s] not found

Не вдалося визначити gln для адреси [%s]"
400,ERR_TTN-63,"katottg [%s] in gln [%s] and document [%s] are different

катоттг [%s] в gln [%s] та документі [%s] відрізняються"
400,ERR_TTN-64,"Signs not found

В документі відсутні підписи"
400,ERR_TTN-66,"Setup correct content type in request. Use 'application/xml'

Вкажіть content type в запиті. Використовуйте  «application/xml»."
400,ERR_TTN-67,"xml body is not canonical or invalid

xml тіло не канонізоване або некоректне"
400,ERR_TTN-68,"Validation document errors: [%s]

Документ містить помилки: [%s]"
400,ERR_TTN-69,"XSD Validation document error: [%s]

Помилка валідації документа за XSD: [%s]"
400,ERR_TTN-70,"No person with the driver's TIN was found among the responsible persons of the carrier

Серед відповідальних осіб перевізника не знайдено особу з ІПН водія"
400,ERR_TTN-71,"TTN data has been changed

Дані ТТН було змінено"
400,ERR_TTN-72,"empty link doc list

Порожній список документів"
400,ERR_TTN-73,"The limit of the number of linked documents has been exceeded. Limit: [%s]

Перевищено ліміт кількості пов'язаних документів. Ліміт: [%s]"
400,ERR_TTN-74,"Incorrect list uuid of documents

Некоректний список uuid-ів документів"
400,ERR_TTN-75,"Errors found when checking documents: [%s]

Знайдені помилки при перевірці документів: [%s]"
400,ERR_TTN-76,"Signs is invalid: [%s]

Помилка при перевірці підпису: [%s]"
400,ERR_TTN-77,"EDRPOU from sign: [%s] is not equals gln EDRPOU: [%s]

ЄДРПОУ з підписа: [%s] не відповідає ЄДРПОУ з глн: [%s]"
400,ERR_TTN-78,"It is not possible to generate a new bill of lading with the same data of ORDER_NO, ORDER_DATE, DELIVERY_NOTE_NO, DELIVERY_NOTE_DATE according to the settings of the consignee

Неможливо створити нову накладну з тими самими даними ORDER_NO, ORDER_DATE, DELIVERY_NOTE_NO, DELIVERY_NOTE_DATE відповідно до налаштувань одержувача"
400,ERR_TTN-79,"Unknown performer

Невідомий виконавець"
400,ERR_TTN-80,"Key blocked. Key is not on secure media

Ключ заблоковано. Ключ знаходиться на незахищеному носії"
400,ERR_TTN-82,"Key blocked. Signer position is required

Ключ заблоковано. Наявність посади підписанта обов'язкова"
400,ERR_TTN-83,"Company not found by code: [%s]

За кодом [%s] компанія не знайдена"
400,ERR_TTN-84,"Document body not found or not created, try to resave document

Тіло документа не знайдено або ще не створено, спробуйте повторно зберегти документ"
400,ERR_TTN-85,"Setup url params: [%s]

Вкажіть url-параметри: [%s]"
400,ERR_TTN-86,"Request body is empty or invalid

Тіло запиту порожнє або некоректне"
400,ERR_TTN-88,"Document is not signed

Документ не підписаний"
400,ERR_TTN-89,"Completed doc [%s] for parent eTTN already exists

Для документа підстави (ТТН) вже зареєстровано документ: [%s]"
400,ERR_TTN-90,"Unsupported status [%s], one of [%s] is expected

Некоректний статус [%s]. Очікується один з наступних:  [%s]"
400,ERR_TTN-91,"Confirm document error

Помилка при підтвердження документа"
400,ERR_TTN-92,"Reject document error

Помилка при відхиленні документа"
400,ERR_TTN-93,"Company not found for this user

Не знайдено компанію для поточного юзера"
400,ERR_TTN-94,"No supported documents

Відсутні підтримувані документи"
