№ з/п,Параметр,Тип [1]_,Формат,Опис
3.4.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.4.4,**specifiedGovernmentRegistrations**,M,,Посвідчення Водія / GLN Водія / GLN компанії-учасника
3.4.4.1,id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.4.4.2,typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
3.5,initiatorNotes,M,string,"Короткий або повний опис причин складання акта (Замовник)"
3.6,carrierNotes,O,string,"Особливі відмітки / Інформація щодо незгоди зі змістом Акта (Перевізник)"
4,**certifyingPartyPayload**,M, ,Інформація про відповідальних осіб
4.1,**certifyingTradeParty** (RoleCode=ОВ),M,,"Інформація про Замовника"
4.1.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.1.1.2,**id**.value,O,decimal,Значення
4.1.2,name,M,string,"Посада Замовника"
4.1.3,roleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.1.4.1,**tradeContact**.personName,M,string,"ПІБ Замовника"
4.2,**certifyingTradeParty** (RoleCode=CA),M,,"Інформація про Перевізника"
4.2.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.2.1.2,**id**.value,O,decimal,Значення
4.2.2,name,M,string,"Посада Перевізника"
4.2.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.2.4.1,**tradeContact**.personName,M,string,"ПІБ Перевізника"
II,**signatureStorage**,M, ,Підписи
5,**signatures** (SigningPartyRoleCode=OB),M,,"КЕП Замовника"
5.1,signingPartyRoleCode,M,string,Роль підписанта (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
5.2,partySignature,M,string,Підпис (base64 підпису p7s)
5.3,name,M,string,ПІБ підписанта (Замовника)
5.4,position,O,string,Посада підписанта (Замовника)
5.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Замовника)
6,**signatures** (SigningPartyRoleCode=CA),M, ,"КЕП Перевізника"
6.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
6.2,partySignature,M,string,Підпис (base64 підпису p7s)
6.3,name,M,string,ПІБ підписанта (Перевізника)
6.4,position,O,string,Посада підписанта (Перевізника)
6.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Перевізника)
