Назва поля, Тип, Формат, Опис
PRODUCTGROUP, O, Рядок (6), Товарна група
ANALOGPRODUCT, O,"Число (8, 10, 14)", Описаний продукт має аналог
BRAND, O, Рядок (75), Бренд (торгова марка)
SUBBRAND, O, Рядок (75), суббренд (торгова марка нижчого рівня)
VARIATY, O, Рядок (75), Варіант (різновид) назви продукту
FUNCTIONNAME, O, Рядок (75), Функціональна назва
PRODUCTNAME, M, Рядок (75), Повна назва продукту
NEWPOSITION, O,"Число (1, 0)", Новинка
PROMO, О,"Число (1, 0)", Акція
DEPTH, O, Число позитивне, Глибина
DEPTHUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
WIDTH, O, Число позитивне, Ширина
WIDTHUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
HEIGHT, O, Число позитивне, Висота
HEIGHTUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
VOLUME, O, Число позитивне, Об'єм
VOLUMEUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
WEIGHT, O, Число позитивне, Вага
WEIGHTUNIT, O, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
**TEMPERATUREOFSTORAGE**,,, Температура зберігання (початок блоку)
FROM, O, Число [-100; 100], Від (Температура зберігання продукту вказується в градусах за Цельсієм)
TO, O, Число [-100; 100], До (Температура зберігання продукту вказується в градусах за Цельсієм)
**TEMPERATUREOFSTORAGE**,,, Температура зберігання (закінчення блоку)
COUNTRYORIGIN, O, Рядок (2), Країна виробник (код держави за стандартом ISO-3166 (2 букви))
BESTBEFORDATE, O, Дата (РРРР-ММ-ДД), Придатний до
CERTIFICATEOFCONFORMITY, O, Рядок (35), Номер сертифіката відповідності
HYGIENICCERTIFICATE, O, Рядок (35), Номер гігієнічного сертифіката
TAXRATE, M, Число позитивне,"Ставка ПДВ,%"
POSITIONCURRENCY, O (M-для Розетка), Рядок,"код валюти (UAH, RUB, USD ...) по позиції"
BALANCE, O, Число десяткове, Поточний залишок (постачальник)
UNITPRICE, M, Число десяткове, Ціна продукту без ПДВ
PRICEWITHVAT, M, Число десяткове, Ціна продукту з ПДВ
UNIT, М, Рядок (3), `Одиниці виміру <https://wiki.edi-n.com/uk/latest/XML/units_edi.html>`__
RETAILPRICE, O, Число десяткове, Рекомендована роздрібна ціна
ADVICEPRICE, O, Число десяткове, Рекомендована ціна (державою)
MAXORDERPRICE, O, Число десяткове, Максимальна роздрібна ціна
MINORDERPRICE, O, Число десяткове, Мінімальна роздрібна ціна
**DISCONT**,,, Знижка (початок блоку)
PERUNIT, O, Число позитивне, За одиницю
PERCENT, O, Число десяткове, Знижка у відсотках
**DISCONT**,,, Знижка (закінчення блоку)
PACKAGE, O,"Рядок (2, 3)", Тип упаковки
QUANTITYOFBOX, О, Число позитивне, Кількість коробок
QUANTITYOFPALLET, О, Число позитивне, Кількість палет
INFO, O, Рядок (70), Вільний текст
PARTYAVAILABILITY, O,0 / 1,"Наявність партії у товару: 0 - немає, 1 - так"
SSCCAVAILABILITY, O,0/1,"Ознака серійного номера: 0 - немає, 1 - так"
PRODUCTFACTOR, O, Рядок (12), Об'єднуюча ознака товару
CONDITIONSTATUS, О, Рядок (3), Статус кондиції
BONUSRATE, O, Число десяткове, Бонусна ставка
FOREIGNTRADECODE, О, Рядок,"Код УКТ ЗЕД (для ТМ Дігма)"
ENTERPRICE, О, Число,"Введення позиції, грн (для ТМ Дігма)"
RETROBONUS, О, Число,"Ретро-бонус,% (для ТМ Дігма)"
DELAYPAYMENT, О, Число,"Відстрочка платежу (для ТМ Дігма)"
POSITIONCURRENCY, О,,"Код валюти, допустимі значення:UAH, EUR, USD"
ACTUALQUANTITY, О, Число позитивне, Залишок по позиції
**POSITION**,,, Товарні позиції (закінчення блоку)
**CATALOGUE**,,, Каталог (закінчення блоку)
**PRICAT**,,, Закінчення документа
