№ з/п,Параметр,Тип [1]_,Формат,Опис
3.3.6.1,id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.3.6.2,typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
3.4,**storageTradeParty**,M,,"Проміжний склад"
3.4.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ Проміжного складу
3.4.1.2,**id**.value,M,decimal,Значення
3.4.2,name,M,string,"Повне найменування Проміжного складу"
3.4.3,roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.4.4,**tradeContact**,O, ,Контакти відповідального представника
3.4.4.1,personName,O,string,ПІБ
3.4.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.4.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.4.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.4.5,**postalTradeAddress**,O, ,Юридична адреса Проміжного складу
3.4.5.1,postCode,O,string,Індекс
3.4.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.4.5.3,cityName,M,string,Місто (назва населеного пункту)
3.4.5.4,countryID,M,string,Країна (UA)
3.4.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.4.6.1,**specifiedTaxRegistration**.id,O,string,РНОКПП підписанта (Проміжного складу)
3.4.7.1,**specifiedGovernmentRegistrations**.id,M/O,string,"GLN Проміжного складу (поле обов'язкове до заповнення для відправника транзакції)"
3.4.7.2,**specifiedGovernmentRegistrations**.typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.5,**storageLogisticsLocation**,M,,Місцезнаходження складу
3.5.1.1,**id**.schemeAgencyID,M,string,КАТОТТГ складу тимчасового зберігання
3.5.1.2,**id**.value,M,decimal,Значення
3.5.2,name,M,string,Найменування складу тимчасового зберігання
3.5.3,description,M,string,Опис (адреса) складу тимчасового зберігання
3.5.4,**physicalGeographicalCoordinate**,M, ,Географічні координати
3.5.4.1,latitudeMeasure,O,string,Географічні координати (Широта)
3.5.4.2,longitudeMeasure,O,string,Географічні координати (Довгота)
3.5.4.3.1,**systemId**.schemeAgencyID,M,string,GLN
3.5.4.3.2,**systemId**.value,M,decimal,Значення
3.6,**utilizedLogisticsTransportEquipments**,M,,"Автомобіль, що розвантажується"
3.6.1,id,M,string,"Реєстраційний номер автомобіля згідно з техпаспортом

* укр.номери: має відповідати одному з патернів для автомобільних номерних знаків
* єврономери: без валідації"
3.6.2.1,**affixedLogisticsSeals**.id,M,string,"Номер пломби, якою проводилося пломбування автомобіля"
3.6.3,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.6.3.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.6.3.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.6.3.1.2,value,O,decimal,"Значення"
3.6.3.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.6.3.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.6.3.2.2,value,O,decimal,"Значення"
3.6.4.1,**applicableNotes** (з кодом BRAND).contentCode,M,string,Код BRAND
3.6.4.2,**applicableNotes** (з кодом BRAND).content,M,string,Марка автомобіля згідно з техпаспортом
3.6.5.1,**applicableNotes** (з кодом MODEL).contentCode,M,string,Код MODEL
3.6.5.2,**applicableNotes** (з кодом MODEL).content,M,string,Модель автомобіля згідно з техпаспортом
3.6.6.1,**applicableNotes** (з кодом COLOR).contentCode,O,string,Код COLOR
3.6.6.2,**applicableNotes** (з кодом COLOR).content,O,string,Колір автомобіля згідно з техпаспортом
3.7,**utilizedLogisticsTransportEquipments** (CategoryCode=TE),O, ,"Причіп/напівпричіп, що розвантажується"
3.7.1,id,O,string,"Реєстраційний номер причіпа/напівпричіпа згідно з техпаспортом"
3.7.2,categoryCode,O,string,Тип TE - Причіп/напівпричіп
3.7.3,characteristicCode,O,string,"Код визначення Причіп/напівпричіп:

* 14 - Причіп
* 17 - Напівпричіп"
3.7.4.1,**affixedLogisticsSeals**.id,O,string,"Номер пломби, якою проводилося пломбування причіпа/напівпричіпа"
3.7.5,**settingTransportSettingTemperature**,O, ,Інструкції з експлуатації
3.7.5.1,**minimum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Мінімальне значення температури"
3.7.5.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.7.5.1.2,value,O,decimal,"Значення"
3.7.5.2,**maximum**,O, ,"Температурний режим, необхідний для перевезення вантажу. Максимальне значення температури"
3.7.5.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.7.5.2.2,value,O,decimal,"Значення"
3.7.6.1,**applicableNotes** (з кодом BRAND).contentCode,O,string,Код BRAND
3.7.6.2,**applicableNotes** (з кодом BRAND).content,O,string,Марка причіпа/напівпричіпа згідно з техпаспортом
3.7.7.1,**applicableNotes** (з кодом MODEL).contentCode,O,string,Код MODEL
3.7.7.2,**applicableNotes** (з кодом MODEL).content,O,string,Модель причіпа/напівпричіпа згідно з техпаспортом
3.7.8.1,**applicableNotes** (з кодом COLOR).contentCode,O,string,Код COLOR
3.7.8.2,**applicableNotes** (з кодом COLOR).content,O,string,Колір причіпа/напівпричіпа згідно з техпаспортом
3.8,**deliveryTransportEvent**,O, ,Розвантажувальні роботи
3.8.1,id,O,string,Порядковий номер події (події завжди нумеруються в порядку поступового зростання за принципом N+1)
3.8.2,typeCode,O,string,"Тип операції (розвантаження=5, завантаження=10)"
3.8.3,description,O,string,Опис
3.8.4.1,**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля на розвантаження
3.8.5.1,**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під розвантаження
3.8.6,**certifyingTradeParties** (RoleCode=DR),M, ,Інформація про водія Перевізника
3.8.6.1,name,M,string,"Посада водія, що здав вантаж"
3.8.6.2,roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.8.6.3.1,**tradeContact**.personName,M,string,"ПІБ водія, що здав вантаж"
3.8.6.4.1,**id**.schemeAgencyID,O,string,РНОКПП Водія
3.8.6.4.2,**id**.value,O,decimal,Значення
3.8.7,**certifyingTradeParties** (RoleCode=CA),O, ,Інформація про відповідальних осіб Перевізника
3.8.7.1,name,M,string,"Посада відповідальної особи Перевізника"
3.8.7.2,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.8.7.3.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Перевізника"
3.8.7.4.1,**id**.schemeAgencyID,O,string,РНОКПП Перевізника
3.8.7.4.2,**id**.value,O,decimal,Значення
3.8.8,**certifyingTradeParties** (RoleCode=WD),O, ,Інформація про відповідальних осіб Проміжного складу
3.8.8.1,name,M,string,"Посада відповідальної особи Проміжного складу"
3.8.8.2,roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.8.8.3.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Проміжного складу"
3.8.8.4.1,**id**.schemeAgencyID,O,string,РНОКПП Проміжного складу
3.8.8.4.2,**id**.value,O,decimal,Значення
3.8.9.1,**applicableNotes** (з кодом GROSSWEIGHT).contentCode,O,string,Код GROSSWEIGHT
3.8.9.2,**applicableNotes** (з кодом GROSSWEIGHT).content,O,decimal,"Маса брутто отриманого вантажу в місці розвантаження в кілограмах"
3.8.10.1,**applicableNotes** (з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
3.8.10.2,**applicableNotes** (з кодом DOWNTIME).content,O,unsignedByte,Час (години) простою під розвантаженням
3.9,carrierNotes,M,string,"Короткий або повний опис причин складання Акта (Перевізник)"
3.10,storageNotes,O,string,Особливі відмітки / Інформація щодо незгоди зі змістом Акта (Проміжний склад)
4,**certifyingPartyPayload**,M, ,Інформація про відповідальних осіб
4.1,**certifyingTradeParty** (RoleCode=DR),M,,"Інформація про Водія"
4.1.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.1.1.2,**id**.value,O,decimal,Значення
4.1.2,name,M,string,"Посада Водія"
4.1.3,roleCode,M,string,Роль учасника (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.1.4.1,**tradeContact**.personName,M,string,"ПІБ водія"
4.1.5.1,**specifiedGovernmentRegistrations**.id,M,string,"Серія та номер водійського посвідчення Водія. Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``"
4.2,**certifyingTradeParty** (RoleCode=CA),M,,"Інформація про Перевізника"
4.2.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.2.1.2,**id**.value,O,decimal,Значення
4.2.2,name,M,string,"Посада Перевізника"
4.2.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.2.4.1,**tradeContact**.personName,M,string,"ПІБ Перевізника"
4.3,**certifyingTradeParty** (RoleCode=WD),M,,"Інформація про відповідальних осіб Проміжного складу"
4.3.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.3.1.2,**id**.value,O,decimal,Значення
4.3.2,name,M,string,"Посада відповідальної особи Проміжного складу"
4.3.3,roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.3.4.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Проміжного складу"
II,**signatureStorage**,M, ,Підписи
5,**signatures** (SigningPartyRoleCode=DR),M,,"КЕП Водія, що здає вантаж"
5.1,signingPartyRoleCode,M,string,Роль підписанта (Водій - DR). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
5.2,partySignature,M,string,Підпис (base64 підпису p7s)
5.3,name,M,string,ПІБ підписанта (Водія)
5.4,position,O,string,Посада підписанта (Водія)
5.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Водія)
6,**signatures** (SigningPartyRoleCode=CA),O, ,"КЕП Перевізника, що здає вантаж"
6.1,signingPartyRoleCode,O,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
6.2,partySignature,O,string,Підпис (base64 підпису p7s)
6.3,name,O,string,ПІБ підписанта (Перевізника)
6.4,position,O,string,Посада підписанта (Перевізника)
6.5.1,**specifiedTaxRegistration**.id,O,string,РНОКПП підписанта (Перевізника)
7,**signatures** (SigningPartyRoleCode=WD),M,,"КЕП відповідальної особи Проміжного складу, що приймає вантаж"
7.1,signingPartyRoleCode,M,string,Роль підписанта (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
7.2,partySignature,M,string,Підпис (base64 підпису p7s)
7.3,name,M,string,ПІБ підписанта (відповідальної особи Проміжного складу)
7.4,position,O,string,Посада підписанта (відповідальної особи Проміжного складу)
7.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (відповідальної особи Проміжного складу)
