№ з/п,Параметр,Тип [1]_,Формат,Опис
3.4.2,name,M,string,"Повне найменування Вантажовідправника"
3.4.3,roleCode,M,string,Роль учасника (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.4.4,**specifiedGovernmentRegistrations**,M,,GLN Вантажовідправника
3.4.4.1,id,M/O,string,"GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.4.4.2,typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.5,**carrierTradeParty**,M,,"Перевізник"
3.5.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ Перевізника
3.5.1.2,**id**.value,M,decimal,Значення
3.5.2,name,M,string,"Повне найменування Перевізника"
3.5.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.5.4,**specifiedGovernmentRegistrations**,M,,Посвідчення Водія / GLN Водія / GLN компанії-учасника
3.5.4.1,id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле опціональне до заповнення)"
3.5.4.2,typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
3.6,**consigneeTradeParty**,O,,"Новий Вантажоодержувач"
3.6.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ Вантажоодержувача
3.6.1.2,**id**.value,M,decimal,Значення
3.6.2,name,M,string,"Повне найменування Вантажоодержувача"
3.6.3,roleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.6.4,**specifiedGovernmentRegistrations**,M,,GLN Вантажоодержувача
3.6.4.1,id,M/O,string,"GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.6.4.2,typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.7,**adjustedSupplyChainConsignment**,M,,Таблиця коригувань
3.8,**consignor**,O, ,Вантажовідправник
3.8.1,name,M,string,"Повне найменування Вантажовідправника (юридичної особи або ПІБ фізичної-особи підприємця), що проводить відвантаження (списання) перелічених в ТТН товарно-матеріальних цінностей"
3.8.2,**tradeContact**,O, ,Контакти відповідального представника
3.8.2.1,personName,O,string,ПІБ
3.8.2.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.8.2.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.8.2.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.8.3,**postalTradeAddress**,M, ,Юридична адреса Вантажовідправника
3.8.3.1,postCode,O,string,Індекс
3.8.3.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.8.3.3,cityName,M,string,Місто (назва населеного пункту)
3.8.3.4,countryID,M,string,Країна (UA)
3.8.3.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.8.4.1,**specifiedGovernmentRegistrations**.id,M/O,string,"GLN Вантажовідправника  (поле обов'язкове до заповнення для відправника транзакції)"
3.8.4.2,**specifiedGovernmentRegistrations**.typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.9,**consignee**,O, ,Вантажоодержувач
3.9.1,name,M,string,"Повне найменування Вантажоодержувача (юридичної особи або ПІБ фізичної-особи підприємця), що проводить одержання (оприбуткування) перелічених в ТТН товарно-матеріальних цінностей"
3.9.2,**tradeContact**,O, ,Контакти відповідального представника
3.9.2.1,personName,O,string,ПІБ
3.9.2.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.9.2.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.9.2.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.9.3,**postalTradeAddress**,O, ,Юридична адреса Вантажоодержувача
3.9.3.1,postCode,O,string,Індекс
3.9.3.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.9.3.3,cityName,M,string,Місто (назва населеного пункту)
3.9.3.4,countryID,M,string,Країна (UA)
3.9.3.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.9.4.1,**specifiedGovernmentRegistrations**.id,M/O,string,"GLN Вантажоодержувача (поле обов'язкове до заповнення для відправника транзакції)"
3.9.4.2,**specifiedGovernmentRegistrations**.typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.10,**carrier**,O, ,Перевізник
3.10.1,name,M,string,"Повне найменування Перевізника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник уклав договір на надання транспортних послуг"
3.10.2,**tradeContact**,O, ,Контакти відповідального представника
3.10.2.1,personName,M,string,"ПІБ водія, що керуватиме ТЗ при перевезенні вантажу"
3.10.2.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.10.2.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.10.2.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.10.3,**postalTradeAddress**,M, ,Юридична адреса Перевізника
3.10.3.1,postCode,O,string,Індекс
3.10.3.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.10.3.3,cityName,M,string,Місто (назва населеного пункту)
3.10.3.4,countryID,M,string,Країна (UA)
3.10.3.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.10.4.1,**specifiedGovernmentRegistrations**.id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле опціональне до заповнення)"
3.10.4.2,**specifiedGovernmentRegistrations**.typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
3.11,**notifiedTradeParties** (роль - FW),O, ,Експедитор
3.11.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Експедитора
3.11.1.2,**id**.value,M,decimal,Значення
3.11.2,name,M,string,"Повне найменування Експедитора (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, з яким вантажовідправник (замовник) уклав договір траспортного експедирування"
3.11.3,roleCode,M,string,Роль учасника (Експедитор - FW). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.11.4,**tradeContact**,O, ,Контакти відповідального представника
3.11.4.1,personName,O,string,ПІБ
3.11.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.11.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.11.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.11.5,**postalTradeAddress**,O, ,Юридична адреса Експедитора
3.11.5.1,postCode,O,string,Індекс
3.11.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.11.5.3,cityName,M,string,Місто (назва населеного пункту)
3.11.5.4,countryID,M,string,Країна (UA)
3.11.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.11.6.1,**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.11.7.1,**specifiedGovernmentRegistrations**.id,M/O,string,"GLN Експедитора (поле обов'язкове до заповнення для відправника транзакції)"
3.11.7.2,**specifiedGovernmentRegistrations**.typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.12,**notifiedTradeParties** (роль - OB),O, ,Замовник
3.12.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Замовника
3.12.1.2,**id**.value,M,decimal,Значення
3.12.2,name,M,string,"Повне найменування Замовника (юридичної особи або фізичної особи - підприємця) або прізвище, ім’я, по батькові фізичної особи, що проводить оплату транспортної роботи і послуг"
3.12.3,roleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.12.4,**tradeContact**,O, ,Контакти відповідального представника
3.12.4.1,personName,O,string,ПІБ
3.12.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.12.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.12.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.12.5,**postalTradeAddress**,O, ,Юридична адреса Замовника
3.12.5.1,postCode,O,string,Індекс
3.12.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.12.5.3,cityName,M,string,Місто (назва населеного пункту)
3.12.5.4,countryID,M,string,Країна (UA)
3.12.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.12.6.1,**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.12.7.1,**specifiedGovernmentRegistrations**.id,M/O,string,"GLN Замовника (поле обов'язкове до заповнення для відправника транзакції)"
3.12.7.2,**specifiedGovernmentRegistrations**.typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.13,**notifiedTradeParties** (роль - WD),O, ,Проміжний склад
3.13.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Проміжного складу
3.13.1.2,**id**.value,M,decimal,Значення
3.13.2,name,M,string,"Повне найменування Проміжного складу (Вантажовідправник/Перевізник/Експедитор/Вантажоодержувач/Товарний склад), що приймає від Перевізника на тимчасове зберігання вантаж"
3.13.3,roleCode,M,string,Роль учасника (Проміжний склад - WD). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.13.4,**tradeContact**,O, ,Контакти відповідального представника
3.13.4.1,personName,O,string,ПІБ
3.13.4.2.1,**telephoneUniversalCommunication**.completeNumber,O,string,Основний телефон
3.13.4.3.1,**mobileTelephoneUniversalCommunication**.completeNumber,O,string,Мобільний телефон
3.13.4.4.1,**emailURIUniversalCommunication**.completeNumber,O,string,Електронна адреса
3.13.5,**postalTradeAddress**,O, ,Юридична адреса Проміжного складу
3.13.5.1,postCode,O,string,Індекс
3.13.5.2,streetName,M,string,Адреса (назва вулиці + номер будівлі)
3.13.5.3,cityName,M,string,Місто (назва населеного пункту)
3.13.5.4,countryID,M,string,Країна (UA)
3.13.5.5,countrySubDivisionName,O,string,Область та район (за наявності)
3.13.6.1,**taxRegistration**.id,O,string,РНОКПП відповідальної особи
3.13.7.1,**specifiedGovernmentRegistrations**.id,M/O,string,"GLN Проміжного складу (поле обов'язкове до заповнення для відправника транзакції)"
3.13.7.2,**specifiedGovernmentRegistrations**.typeCode,O,string,"Код типу:

* TRADEPARTY_GLN"
3.14,**notifiedTradeParties** (роль - COP),O, ,Охоронна компанія
3.14.1.1,**id**.schemeAgencyID,M,string,ЄДРПОУ / РНОКПП Охоронної компанії
3.14.1.2,**id**.value,M,decimal,Значення
3.14.2,name,M,string,"Повне найменування Охоронної компанії, що надає охоронні послуги вантажу під час перевезення"
3.14.3,roleCode,M,string,Роль учасника (Охоронна компанія - COP). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.14.4,**tradeContact**,O, ,Контакти відповідального представника
3.14.4.1,personName,O,string,"ПІБ представника Замовника, який уповноважений супроводжувати вантаж, що підлягає спеціальній охороні"
3.15,**carrierAcceptanceLogisticsLocation**,O, ,Пункт навантаження 
3.15.1.1,**id**.schemeAgencyID,M,string,КАТОТТГ пункту навантаження
3.15.1.2,**id**.value,M,decimal,Значення
3.15.2,name,M,string,Найменування пункту навантаження
3.15.3,typeCode,M,string,Тип операції: 5 - навантаження; 10 - розвантаження
3.15.4,description,M,string,Опис (адреса) пункту навантаження
3.15.5,**physicalGeographicalCoordinate**,M, ,Географічні координати
3.15.5.1,latitudeMeasure,O,string,Географічні координати (Широта)
3.15.5.2,longitudeMeasure,O,string,Географічні координати (Довгота)
3.15.5.3.1,**systemId**.schemeAgencyID,M,string,GLN
3.15.5.3.2,**systemId**.value,M,decimal,Значення
3.16,**consigneeReceiptLogisticsLocation**,O, ,Пункт розвантаження 
3.16.1.1,**id**.schemeAgencyID,M,string,КАТОТТГ пункту розвантаження
3.16.1.2,**id**.value,M,decimal,Значення
3.16.2,name,M,string,Найменування пункту розвантаження
3.16.3,typeCode,M,string,Тип операції: 5 - навантаження; 10 - розвантаження
3.16.4,description,M,string,Опис (адреса) пункту розвантаження
3.16.5,**physicalGeographicalCoordinate**,M, ,Географічні координати
3.16.5.1,latitudeMeasure,O,string,Географічні координати (Широта)
3.16.5.2,longitudeMeasure,O,string,Географічні координати (Довгота)
3.16.5.3.1,**systemId**.schemeAgencyID,M,string,GLN
3.16.5.3.2,**systemId**.value,M,decimal,Значення
3.17,**deliveryTransportEvent**,O, ,Розвантажувальні роботи
3.17.1,id,O,string,Порядковий номер події (події завжди нумеруються в порядку поступового зростання за принципом N+1)
3.17.2,typeCode,O,string,"Тип операції (розвантаження=5, завантаження=10)"
3.17.3,description,O,string,Опис
3.17.4.1,**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля на розвантаження
3.17.5.1,**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під розвантаження
3.17.6.1,**applicableNotes** (з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
3.17.6.2,**applicableNotes** (з кодом DOWNTIME).content,O,unsignedByte,Час (години) простою під розвантаженням
3.18,**pickUpTransportEvent**,M, ,Навантажувальні роботи
3.18.1,id,O,string,Порядковий номер події (події завжди нумеруються в порядку поступового зростання за принципом N+1)
3.18.2,typeCode,O,string,"Тип операції (розвантаження=5, завантаження=10)"
3.18.3,description,O,string,Опис
3.18.4.1,**actualOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час прибуття автомобіля під навантаження
3.18.5.1,**scheduledOccurrenceDateTime**.dateTime,O,`datetime <https://www.w3.org/TR/xmlschema-2/#dateTime>`__ (2021-12-13T14:19:23+02:00),Дата та час вибуття автомобіля з-під навантаження
3.18.6.1,**applicableNotes** (з кодом DOWNTIME).contentCode,O,string,Код DOWNTIME
3.18.6.2,**applicableNotes** (з кодом DOWNTIME).content,O,unsignedByte,Час простою
3.19,**includedSupplyChainConsignmentItems**,O, ,Відомості про вантаж
3.19.1.1,**globalID**.schemeAgencyID,O,string (min 4 - max 10),УКТЗЕД (код продукції)
3.19.1.2,**globalID**.value,O,string,Значення
3.19.2.1,**natureIdentificationTransportCargo**.identification,O,string,Найменування вантажу
3.19.3.1,**applicableTransportDangerousGoods**.UNDGIdentificationCode,O,decimal,"Клас небезпечних речовин, до якого віднесено вантаж (у разі перевезення небезпечних вантажів). Код UNDG, 0 - якщо не використовується"
3.19.4.1,**associatedReferencedDocuments**.id,O,string,"Документи з вантажем. Номер документа, який водій отримує від вантажовідправника і передає вантажоодержувачеві разом з вантажем (товарні, залізничні накладні, сертифікати, свідоцтва тощо)"
3.19.4.2,**associatedReferencedDocuments**.remarks,O,string,"UUID супровідного документа"
3.19.5,**transportLogisticsPackage**,O, ,"Транспортно-логістичний пакет. ВАЖЛИВО: в Україні дозволяється лише один LogisticsPackage для одного ConsignmentItem!"
3.19.5.1,itemQuantity,O,decimal,"Кількість місць, які визначаються за кожним найменуванням вантажу (це можуть бути ящики, кошики, мішки тощо; якщо вантаж упаковано на піддонах - вказують кількість піддонів)"
3.19.5.2,typeCode,O,string,Вид пакування (`Довідник видів упаковок <https://wiki.edin.ua/uk/latest/Docs_ETTNv3/Dictionaries/Dictionaries.html#packaging-types>`__)
3.19.5.3,type,O,string,Одиниця виміру для itemQuantity
3.19.5.4,**physicalLogisticsShippingMarks**,O, ,Маркування
3.19.5.4.1,marking,O,string,"Назва транспортної упаковки (вільна назва), в якій перевозиться вантаж"
3.19.5.4.2.1,**barcodeLogisticsLabel**.id,O,string,Штрихкод товару
3.19.6.1,**applicableNotes** (з кодом VENDOR_CODE).contentCode,O,string,Код VENDOR_CODE
3.19.6.2,**applicableNotes** (з кодом VENDOR_CODE).content,O,string,Артикул товару
3.19.7.1,**applicableNotes** (з кодом QUANTITY).contentCode,O,string,Код QUANTITY
3.19.7.2,**applicableNotes** (з кодом QUANTITY).content,O,string,Кількість товару
3.19.8.1,**applicableNotes** (з кодом URL).contentCode,O,string,Код URL
3.19.8.2,**applicableNotes** (з кодом URL).content,O,string,Посилання на документ
3.19.9.1,**applicableNotes** (з кодом BASE_UOM).contentCode,O,string,Код BASE_UOM
3.19.9.2,**applicableNotes** (з кодом BASE_UOM).content,O,string,Одиниця виміру кількості товару для QUANTITY
3.19.10.1,**applicableNotes** (з кодом BUYER_CODE).contentCode,O,string,Код BUYER_CODE
3.19.10.2,**applicableNotes** (з кодом BUYER_CODE).content,O,string,Артикул покупця (використовується для ідентифікації товарної позиції при прийманні)
3.19.11.1,**applicableNotes** (з кодом PRICE_WITH_VAT).contentCode,O,string,Код PRICE_WITH_VAT
3.19.11.2,**applicableNotes** (з кодом PRICE_WITH_VAT).content,O,string,Ціна за одиницю з ПДВ
3.19.12.1,**applicableNotes** (з кодом SUM_WITHOUT_VAT).contentCode,O,string,Код SUM_WITHOUT_VAT
3.19.12.2,**applicableNotes** (з кодом SUM_WITHOUT_VAT).content,O,string,Загальна сума без ПДВ
3.19.13.1,**applicableNotes** (з кодом RETURN_TARE).contentCode,O,string,Код RETURN_TARE
3.19.13.2,**applicableNotes** (з кодом RETURN_TARE).content,O,string,"Ознака «зворотня тара»"
3.19.14.1,**applicableNotes** (з кодом NET_WEIGHT).contentCode,O,string,Код NET_WEIGHT
3.19.14.2,**applicableNotes** (з кодом NET_WEIGHT).content,O,string,Маса нетто
3.19.15.1,**applicableNotes** (з кодом RTP_QUANTITY).contentCode,O,string,Код RTP_QUANTITY
3.19.15.2,**applicableNotes** (з кодом RTP_QUANTITY).content,O,string,Кількість транспортної упаковки (використовується для обліку оборотної тари)
3.20,**deliveryInstructions**,O, ,Вид перевезень
3.20.1,description,O,string,"Опис (вид роботи перевізника: за відрядним тарифом, за погодинним тарифом, за покілометровим тарифом, централізовані перевезення тощо)"
3.20.2,descriptionCode,M,string,Код (TRANSPORTATION_TYPE)
3.21,initiatorNotes,M,string,"Короткий або повний опис причин складання акта (Замовник)"
3.22,consignorNotes,O,string,Особливі відмітки / Інформація щодо незгоди зі змістом Акта (Вантажовідправник)
3.23,carrierNotes,O,string,"Особливі відмітки / Інформація щодо незгоди зі змістом Акта (Перевізник)"
3.24,consigneeNotes,O,string,Особливі відмітки / Інформація щодо незгоди зі змістом Акта (Вантажоодержувач)
4,**certifyingPartyPayload**,M, ,Інформація про відповідальних осіб
4.1,**certifyingTradeParty** (RoleCode=ОВ),M,,"Інформація про Замовника"
4.1.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.1.1.2,**id**.value,O,decimal,Значення
4.1.2,name,M,string,"Посада Замовника"
4.1.3,roleCode,M,string,Роль учасника (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.1.4.1,**tradeContact**.personName,M,string,"ПІБ Замовника"
4.2,**certifyingTradeParty** (RoleCode=CZ),M,,Інформація про відповідальних осіб Вантажовідправника
4.2.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.2.1.2,**id**.value,O,decimal,Значення
4.2.2,name,M,string,"Посада відповідальної особи Вантажовідправника"
4.2.3,roleCode,M,string,Роль учасника (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.2.4.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Вантажовідправника"
4.3,**certifyingTradeParty** (RoleCode=CA),M,,"Інформація про Перевізника"
4.3.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.3.1.2,**id**.value,O,decimal,Значення
4.3.2,name,M,string,"Посада Перевізника"
4.3.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.3.4.1,**tradeContact**.personName,M,string,"ПІБ Перевізника"
4.4,**certifyingTradeParty** (RoleCode=CN),O,,Інформація про відповідальних осіб Вантажоодержувача
4.4.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.4.1.2,**id**.value,O,decimal,Значення
4.4.2,name,M,string,"Посада відповідальної особи Вантажоодержувача"
4.4.3,roleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.4.4.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Вантажоодержувача"
II,**signatureStorage**,M, ,Підписи
5,**signatures** (SigningPartyRoleCode=OB),M,,"КЕП Замовника"
5.1,signingPartyRoleCode,M,string,Роль підписанта (Замовник - OB). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
5.2,partySignature,M,string,Підпис (base64 підпису p7s)
5.3,name,M,string,ПІБ підписанта (Замовника)
5.4,position,O,string,Посада підписанта (Замовника)
5.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Замовника)
6,**signatures** (SigningPartyRoleCode=CZ),M,,"КЕП Вантажовідправника"
6.1,signingPartyRoleCode,M,string,Роль підписанта (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
6.2,partySignature,M,string,Підпис (base64 підпису p7s)
6.3,name,M,string,ПІБ підписанта (відповідальної особи Вантажовідправника)
6.4,position,O,string,Посада підписанта (відповідальної особи Вантажовідправника)
6.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (відповідальної особи Вантажовідправника)
7,**signatures** (SigningPartyRoleCode=CA),M, ,"КЕП Перевізника"
7.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
7.2,partySignature,M,string,Підпис (base64 підпису p7s)
7.3,name,M,string,ПІБ підписанта (Перевізника)
7.4,position,O,string,Посада підписанта (Перевізника)
