№ з/п,Параметр,Тип [1]_,Формат,Опис
3.4.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
3.4.4,**specifiedGovernmentRegistrations**,M,,Посвідчення Водія / GLN Водія / GLN компанії-учасника
3.4.4.1,id,M/O,string,"* Серія та номер водійського посвідчення Водія (поле обов'язкове до заповнення). Заповнюється в форматі «3 заголовні кириличні літери + 6 цифр без пробілів», наприклад: ``DGJ123456``, ``АБВ123456``
* для typeCode=DRIVER_GLN - GLN Водія (поле опціональне до заповнення)
* для typeCode=TRADEPARTY_GLN - GLN компанії-учасника (поле обов'язкове до заповнення для відправника транзакції)"
3.4.4.2,typeCode,O,string,"Код типу:

* DRIVER_GLN
* TRADEPARTY_GLN"
3.5,**disagreementSubjectSupplyChainConsignmentItems**,M,,"Розбіжності щодо кількісних характеристик вантажу"
3.5.1,sequenceNumeric,M,int,Порядковий номер рядка в таблиці
3.5.2.1,**natureIdentificationTransportCargo**.identification,M,string,Найменування вантажу (номер контейнера) за ТТН
3.5.3,transportLogisticsPackageType,M,string,Одиниця виміру
3.5.4,**disagreementItemQuantity**,O,,"Відхилення за кількістю місць"
3.5.4.1,originalItemQuantity,M,string,Кількість місць за ТТН
3.5.4.2,actualItemQuantity,O,string,Кількість місць фактична
3.5.4.3.1,**deltaItemQuantity**.quantity,O,string,"Кількість місць Відхилення. Різниця між фактом та даними з ТТН - розраховується системою автоматично і тільки для тих даних, за якими вказано фактичне значення"
3.5.4.3.2,**deltaItemQuantity**.explanation,O,string,"причина відхилення за кількістю місць (недостача/надлишок, бій тощо)"
3.5.5,**disagreementGrossWeightMeasure**,O,,"Відхилення за масою брутто, кг"
3.5.5.1,**originalGrossWeightMeasure**,M,,Маса брутто за ТТН
3.5.5.1.1,unitCode,M,string,код одиниці виміру (KGM)
3.5.5.1.2,value,M,decimal,"Значення; точність=0,1"
3.5.5.2,**actualGrossWeightMeasure**,O,,Маса брутто Фактична
3.5.5.2.1,unitCode,M,string,код одиниці виміру (KGM)
3.5.5.2.2,value,M,decimal,"Значення; точність=0,1"
3.5.5.3,**deltaGrossWeightMeasure**,O,,Відхилення
3.5.5.3.1.1,**measure**.unitCode,M,string,код одиниці виміру (KGM)
3.5.5.3.1.2,**measure**.value,M,decimal,"Значення; точність=0,1"
3.5.5.3.2,explanation,O,string,"причина відхилення за масою (недостача/надлишок тощо)"
3.5.6,**disagreementInvoiceAmount**,O,,Відхилення за сумою
3.5.6.1,**originalInvoiceAmount**,M,,Загальна сума з ПДВ за ТТН
3.5.6.1.1,currencyId,M,string,Тризначний код валюти (UAH)
3.5.6.1.2,value,M,decimal,"Значення; точність=0,01"
3.5.6.2,**actualInvoiceAmount**,O,,Загальна сума з ПДВ Фактична
3.5.6.2.1,currencyId,M,string,Тризначний код валюти (UAH)
3.5.6.2.2,value,M,decimal,"Значення; точність=0,01"
3.5.6.3,**deltaInvoiceAmount**,O,,Відхилення
3.5.6.3.1.1,**amount**.currencyId,M,string,Тризначний код валюти (UAH)
3.5.6.3.1.2,**amount**.value,M,decimal,"Значення; точність=0,01"
3.5.6.3.2,explanation,O,string,"причина відхилення за сумою"
3.5.7,disagreementOtherNotes,O,string,Інші зауваження. Коментарі щодо виявлених розбіжностей по кожному рядку (найменуванню вантажу)
3.6,**disagreementSubjectSupplyChainConsignmentSummary**,M,,"Розбіжності щодо кількісних характеристик вантажу (сумарні показники)"
3.6.1,**originalGrossWeightMeasure**,M,,"Разом Маса брутто за ТТН, кг"
3.6.1.1,unitCode,M,string,код одиниці виміру (KGM)
3.6.1.2,value,M,decimal,"Значення; точність=0,1"
3.6.2,**deltaGrossWeightMeasure**,M,,"Разом Маса брутто Відхилення, кг"
3.6.2.1,unitCode,M,string,код одиниці виміру (KGM)
3.6.2.2,value,M,decimal,"Значення; точність=0,1"
3.6.3,**originalInvoiceAmount**,M,,"Разом Загальна сума з ПДВ за ТТН, грн."
3.6.3.1,currencyId,M,string,Тризначний код валюти (UAH)
3.6.3.2,value,M,decimal,"Значення; точність=0,01"
3.6.4,**deltaInvoiceAmount**,M,,"Разом Загальна сума з ПДВ Відхилення, грн."
3.6.4.1,currencyId,M,string,Тризначний код валюти (UAH)
3.6.4.2,value,M,decimal,"Значення; точність=0,01"
3.7,**qualityCharacteristicsDisagreement**,O,,"Розбіжності щодо якісних характеристик вантажу"
3.7.1.1,**affixedLogisticsSeals**.id,O,string,"Номер пломби згідно з ТТН"
3.7.2,affixedLogisticsSealNotes,O,string,Відомості про пошкодження пломби
3.7.3.1,**applicableTransportSettingTemperature**.**minimum**,O,,Температурний режим згідно з ТТН. Мінімальне значення температури
3.7.3.1.1,unitCode,O,string,код одиниці виміру (CEL)
3.7.3.1.2,value,O,decimal,"Значення"
3.7.3.2,**applicableTransportSettingTemperature**.**maximum**,O,,Температурний режим згідно з ТТН. Максимальне значення температури
3.7.3.2.1,unitCode,O,string,код одиниці виміру (CEL)
3.7.3.2.2,value,O,decimal,"Значення"
3.7.4,applicableTransportSettingTemperatureNotes,O,string,Відомості про недотримання температурного режиму
3.7.5,packagingDamageDisagreementNotes,O,string,"Відомості про пошкодження тари (опис пошкоджень тари, пакування, маркування тощо)"
3.7.6,otherDisagreementNotes,O,string,Відомості про інші розбіжності (опис інших невідповідностей у характеристиках вантажу)
3.8,consigneeNotes,M,string,"Короткий або повний опис причин складання акту (наприклад, виявлено розбіжності щодо якісних та/або кількісних характеристик отриманого вантажу тощо)"
3.9,claimNotes,M,string,"Висновок (вимоги щодо вирішення розбіжностей). Вказується інформація про те, чи слід пред’являти будь-кому претензії і якщо так, то кому саме"
3.10,carrierNotes,O,string,Особливі відмітки (Перевізник). Інформація щодо незгоди зі змістом Акта (Перевізник)
4,**certifyingPartyPayload**,M, ,Інформація про відповідальних осіб
4.1,**certifyingTradeParty** (RoleCode=CN),O,,Інформація про відповідальних осіб Вантажоодержувача
4.1.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.1.1.2,**id**.value,O,decimal,Значення
4.1.2,name,M,string,"Посада відповідальної особи Вантажоодержувача"
4.1.3,roleCode,M,string,Роль учасника (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.1.4.1,**tradeContact**.personName,M,string,"ПІБ відповідальної особи Вантажоодержувача"
4.2,**certifyingTradeParty** (RoleCode=CA),M,,"Інформація про Перевізника"
4.2.1.1,**id**.schemeAgencyID,O,string,РНОКПП
4.2.1.2,**id**.value,O,decimal,Значення
4.2.2,name,M,string,"Посада Перевізника"
4.2.3,roleCode,M,string,Роль учасника (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
4.2.4.1,**tradeContact**.personName,M,string,"ПІБ Перевізника"
II,**signatureStorage**,M, ,Підписи
5,**signatures** (SigningPartyRoleCode=CN),O,,"КЕП Вантажоодержувача"
5.1,signingPartyRoleCode,M,string,Роль підписанта (Вантажоодержувач - CN). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
5.2,partySignature,M,string,Підпис (base64 підпису p7s)
5.3,name,M,string,ПІБ підписанта (відповідальної особи Вантажоодержувача)
5.4,position,O,string,Посада підписанта (відповідальної особи Вантажоодержувача)
5.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (відповідальної особи Вантажоодержувача)
6,**signatures** (SigningPartyRoleCode=CA),M, ,"КЕП Перевізника"
6.1,signingPartyRoleCode,M,string,Роль підписанта (Перевізник - CA). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
6.2,partySignature,M,string,Підпис (base64 підпису p7s)
6.3,name,M,string,ПІБ підписанта (Перевізника)
6.4,position,O,string,Посада підписанта (Перевізника)
6.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Перевізника)
7,**signatures** (SigningPartyRoleCode=CZ),M,,"КЕП Вантажовідправника"
7.1,signingPartyRoleCode,M,string,Роль підписанта (Вантажовідправник - CZ). `Довідник ролей <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
7.2,partySignature,M,string,Підпис (base64 підпису p7s)
7.3,name,M,string,ПІБ підписанта (Вантажовідправника)
7.4,position,O,string,Посада підписанта (Вантажовідправника)
7.5.1,**specifiedTaxRegistration**.id,M,string,РНОКПП підписанта (Вантажовідправника)
